Key,Frame
j,67
shift,68
j,93
j,110
space,124
j,140
j,148
j,155
space,166
j,174
j,180
j,188
space,201
k,206
k,214
k,221
space,231
k,241
k,248
k,254
space,264
k,271
k,278
k,284
space,295
shift,302
l,331
l,339
l,345
space,355
l,363
l,372
l,377
l,387
space,396
l,405
l,410
l,416
backspace,432
backspace,441
backspace,450
backspace,455
backspace,461
space,472
shift,510
l,522
l,529
shift,550
backspace,560
backspace,567
l,621
l,628
l,637
space,647
j,715
shift,716
j,733
j,753
shift,754
space,763
j,793
shift,806
j,820
j,840
shift,843
space,853
j,903
shift,906
space,914
j,932
shift,948
backspace,969
backspace,975
j,1012
j,1044
shift,1047
space,1059
k,1120
shift,1139
backspace,1150
k,1213
shift,1220
shift,1232
k,1247
shift,1274
k,1274
space,1285
k,1309
shift,1313
k,1330
k,1350
shift,1350
space,1379
k,1413
shift,1415
k,1432
shift,1453
k,1454
space,1466
l,1504
l,1512
l,1528
shift,1536
backspace,1557
backspace,1563
l,1637
shift,1656
l,1656
space,1666
l,1686
backspace,1708
l,1740
shift,1746
shift,1760
l,1776
shift,1797
l,1797
space,1811
shift,1844
l,1846
l,1862
shift,1886
l,1890
space,1904
shift,1945
k,1949
backspace,1971
j,2007
backspace,2026
j,2043
shift,2044
space,2057
backspace,2073
j,2088
j,2094
space,2106
shift,2122
j,2123
j,2139
j,2145
space,2155
shift,2172
j,2174
j,2185
j,2190
space,2203
k,2228
backspace,2245
j,2253
backspace,2279
k,2318
shift,2324
k,2338
k,2345
k,2364
shift,2367
backspace,2380
space,2387
k,2427
shift,2428
k,2448
k,2453
space,2468
k,2485
shift,2488
k,2496
k,2502
space,2518
l,2543
shift,2549
l,2563
l,2569
space,2580
shift,2596
l,2598
l,2615
l,2622
space,2643
shift,2664
l,2666
l,2678
l,2685
space,2695
h,2734
h,2740
h,2746
shift,2755
space,2758
h,2767
h,2773
shift,2778
backspace,2789
backspace,2798
h,2816
h,2824
h,2850
space,2857
shift,2857
h,2877
backspace,2896
h,2910
h,2917
h,2930
shift,2936
space,2949
h,2985
shift,2986
h,2998
shift,3016
h,3018
space,3027
h,3047
shift,3048
h,3065
shift,3084
h,3087
space,3096
h,3117
shift,3118
h,3131
shift,3155
h,3190
shift,3191
space,3205
h,3221
backspace,3237
h,3248
h,3256
shift,3258
backspace,3267
backspace,3272
h,3290
shift,3291
h,3305
h,3311
space,3323
space,3327
h,3345
shift,3345
backspace,3367
backspace,3372
h,3396
shift,3397
h,3405
h,3411
space,3422
h,3438
shift,3440
h,3449
h,3454
space,3462
u,3500
u,3505
u,3511
space,3524
u,3533
u,3539
u,3544
space,3554
u,3561
u,3567
u,3572
space,3588
shift,3596
i,3639
i,3645
i,3659
space,3670
i,3677
i,3682
i,3689
space,3703
i,3711
i,3715
i,3728
shift,3733
space,3751
shift,3777
o,3798
o,3804
o,3811
shift,3821
bar,3827
backspace,3839
backspace,3846
backspace,3857
shift,3857
backspace,3877
o,3892
o,3898
o,3904
shift,3908
space,3914
o,3928
o,3934
o,3940
space,3950
o,3960
o,3965
o,3970
o,3979
space,3993
p,4023
p,4030
p,4035
backspace,4057
backspace,4062
backspace,4067
backspace,4076
backspace,4083
space,4099
p,4119
p,4122
p,4127
space,4153
p,4160
p,4164
p,4170
space,4178
p,4184
p,4189
p,4194
space,4201
shift,4202
u,4234
shift,4235
u,4247
shift,4264
u,4265
space,4275
u,4293
shift,4298
space,4307
backspace,4334
i,4344
backspace,4357
u,4373
shift,4386
u,4387
space,4397
shift,4417
u,4418
u,4429
shift,4447
u,4448
space,4464
shift,4490
i,4490
i,4499
i,4514
shift,4521
backspace,4528
i,4540
shift,4541
space,4549
shift,4567
i,4569
i,4581
shift,4598
i,4599
space,4615
shift,4637
i,4638
i,4649
shift,4669
i,4670
space,4688
o,4731
shift,4732
o,4749
shift,4769
o,4769
space,4781
shift,4797
o,4799
space,4812
backspace,4831
o,4848
shift,4859
o,4861
space,4872
shift,4887
o,4888
shift,4900
o,4912
shift,4926
o,4927
p,4969
backspace,4986
space,4998
shift,5011
p,5036
shift,5039
space,5047
p,5058
shift,5071
backspace,5082
backspace,5088
o,5105
shift,5106
backspace,5122
p,5134
p,5154
shift,5155
space,5164
p,5193
shift,5195
space,5206
backspace,5221
p,5231
shift,5250
p,5252
space,5260
p,5268
backspace,5281
p,5292
shift,5292
space,5301
backspace,5310
p,5320
shift,5336
p,5337
space,5347
i,5392
backspace,5403
u,5412
shift,5413
u,5429
u,5435
space,5453
u,5468
shift,5469
u,5480
u,5486
space,5495
shift,5512
u,5513
space,5523
backspace,5537
u,5545
u,5550
space,5561
i,5580
shift,5586
i,5597
i,5602
space,5613
shift,5627
i,5628
i,5643
i,5649
space,5657
i,5672
shift,5672
i,5684
i,5690
space,5699
o,5732
shift,5739
o,5753
o,5759
space,5766
shift,5780
o,5780
o,5790
o,5796
space,5806
o,5823
shift,5825
o,5842
o,5852
space,5864
p,5881
shift,5892
backspace,5904
p,5915
space,5923
backspace,5938
p,5948
p,5953
space,5968
backspace,5974
backspace,5979
backspace,5986
backspace,6003
p,6024
shift,6025
p,6036
p,6041
p,6055
backspace,6071
space,6079
shift,6092
p,6092
p,6107
p,6113
space,6126
shift,6143
p,6144
p,6157
p,6163
space,6170
shift,6345
shift,6360
y,6382
shift,6384
y,6391
s,6395
shift,6399
backspace,6411
y,6427
shift,6429
space,6436
y,6452
y,6459
y,6475
shift,6480
space,6482
y,6513
y,6519
y,6538
space,6546
shift,6546
y,6569
shift,6572
y,6583
y,6598
shift,6598
space,6609
shift,6624
y,6625
y,6674
shift,6685
y,6686
space,6698
y,6713
shift,6715
y,6725
shift,6743
y,6746
space,6757
y,6781
shift,6783
y,6789
y,6795
space,6806
shift,6823
y,6824
y,6831
y,6836
space,6852
shift,6868
y,6869
y,6878
y,6885
space,6895
m,6960
m,6966
m,6971
space,6981
m,6991
m,6996
m,7002
space,7010
m,7017
m,7023
m,7028
space,7036
shift,7043
m,7071
shift,7072
m,7086
m,7107
shift,7108
space,7118
m,7134
shift,7134
m,7145
shift,7170
m,7171
m,7183
shift,7192
backspace,7204
space,7212
comma,7224
comma,7233
backspace,7245
backspace,7251
m,7271
backspace,7285
m,7296
shift,7297
m,7319
shift,7336
m,7338
space,7359
m,7369
shift,7377
backspace,7406
m,7422
shift,7425
m,7435
m,7441
space,7456
shift,7471
m,7472
m,7478
m,7484
space,7496
m,7510
shift,7515
m,7518
m,7535
space,7547
shift,7577
n,7617
n,7622
n,7627
space,7642
n,7649
n,7654
n,7659
space,7671
n,7677
n,7682
n,7688
space,7703
n,7711
shift,7714
n,7729
n,7739
backspace,7759
shift,7767
n,7768
space,7778
shift,7795
n,7795
n,7806
n,7829
shift,7830
space,7839
n,7855
shift,7859
n,7879
shift,7908
n,7908
space,7922
n,7937
backspace,7952
shift,7959
n,7960
n,7969
n,7974
space,7988
n,8002
shift,8003
space,8013
backspace,8033
n,8038
n,8043
space,8056
n,8065
shift,8066
space,8088
backspace,8105
n,8111
n,8116
n,8121
backspace,8145
