Frame,Key
17,d
24,e
30,a
32,r
34,space
38,t
45,e
50,a
54,m
74,comma
77,space
81,i
87,space
99,h
105,i
144,delete
160,o
167,p
172,e
178,space
185,y
193,o
195,u
201,space
205,a
210,l
215,l
220,space
226,h
231,a
244,d
250,space
265,a
271,space
277,f
283,a
284,n
293,s
298,t
306,a
311,c
318,k
325,delete
331,t
335,i
343,c
354,space
378,t
381,i
387,m
392,e
396,space
402,o
404,u
410,r
416,space
423,delete
429,delete
437,delete
444,delete
451,i
462,delete
463,a
467,t
472,space
482,o
489,r
502,u
508,delete
513,delete
518,u
523,r
527,space
550,r
554,e
563,c
569,e
574,n
577,t
581,space
621,e
626,m
628,p
634,l
641,o
651,y
656,e
661,e
666,space
669,e
674,v
679,e
684,n
688,t
695,dot
700,space
717,i
721,space
733,delete
740,t
743,space
755,w
759,a
765,s
770,space
776,t
784,r
789,u
796,l
804,y
811,space
821,a
828,space
832,p
842,e
853,delete
860,l
863,e
867,a
871,s
880,u
885,r
890,e
894,space
903,t
911,o
918,space
930,s
938,e
944,e
950,space
956,e
965,v
972,e
977,r
984,y
990,o
996,n
1002,e
1007,space
1013,c
1018,o
1023,m
1028,e
1036,space
1045,t
1049,o
1054,g
1055,e
1061,t
1063,h
1070,e
1074,r
1081,space
1093,a
1098,n
1102,d
1105,space
1114,e
1118,n
1135,j
1141,o
1155,y
1168,space
1178,t
1181,h
1186,e
1191,space
1203,f
1209,e
1215,s
1219,t
1224,i
1246,v
1250,i
1256,t
1261,i
1262,e
1267,s
1272,space
1301,delete
1311,dot
1318,space
1346,y
1354,o
1356,u
1362,r
1371,space
1383,e
1387,n
1394,t
1401,h
1407,u
1411,s
1421,a
1436,delete
1455,i
1460,a
1480,s
1485,m
1491,space
1496,a
1502,n
1506,d
1512,space
1516,p
1522,o
1527,s
1532,i
1537,t
1541,i
1547,v
1553,e
1556,space
1566,e
1570,n
1575,e
1579,r
1590,g
1594,y
1602,space
1633,m
1635,a
1639,d
