Frame,Key
41,d
47,e
56,a
64,r
73,space
79,j
84,a
87,n
92,e
124,comma
130,space
133,i
140,space
143,h
146,o
152,p
157,e
163,space
167,t
171,h
173,i
179,s
186,space
198,m
202,e
208,s
213,s
226,a
232,g
238,e
244,space
252,f
256,i
262,n
265,d
271,s
276,space
284,y
290,o
294,u
299,space
304,i
309,n
313,space
319,g
323,o
327,o
333,d
338,space
345,s
355,p
368,i
375,r
382,i
385,t
393,s
415,dot
423,space
430,i
437,space
445,a
453,m
458,space
466,t
469,h
470,i
478,n
484,k
490,i
495,n
500,g
507,space
511,t
518,o
524,space
543,delete
548,delete
558,delete
576,delete
581,delete
586,delete
589,delete
593,delete
600,delete
605,delete
609,delete
614,delete
624,w
631,r
639,i
643,t
645,i
652,n
656,g
660,space
665,t
669,o
674,space
683,delete
691,delete
696,delete
700,delete
705,delete
708,delete
718,delete
726,t
727,i
732,n
735,g
739,space
742,t
747,o
752,space
783,u
788,p
793,d
797,a
803,t
804,e
810,space
821,y
827,o
832,u
837,space
842,o
846,n
851,space
855,t
859,h
864,e
868,space
878,q
884,u
888,i
897,r
908,k
920,y
931,space
948,p
955,r
955,o
967,j
971,e
980,c
986,t
990,space
1001,w
1007,e
1010,space
1018,h
1021,a
1026,v
1031,e
1035,space
1040,b
1046,e
1049,e
1055,n
1059,space
1070,w
1073,o
1078,r
1082,k
1088,i
1093,n
1097,g
1098,space
1101,o
1106,n
1131,dot
1135,space
1139,t
1143,h
1146,a
1158,delete
1161,e
1165,space
1168,t
1172,a
1178,s
1183,k
1191,space
1209,h
1212,a
1216,s
1222,space
1234,b
1240,e
1244,e
1252,n
1257,space
1265,q
1270,u
1275,i
1281,t
1286,e
1295,space
1301,c
1305,h
1308,a
1331,l
1336,l
1341,e
1345,n
1348,g
1352,i
1356,n
1361,g
1364,space
1384,delete
1392,comma
1396,space
1398,w
1402,i
1408,t
1413,h
1418,space
1423,m
1433,n
1443,delete
1445,a
1451,n
1457,y
1465,space
1501,t
1507,r
1519,i
1524,c
1528,k
1547,y
1554,space
1561,a
1564,s
1572,p
1577,e
1583,c
1588,t
1598,s
1603,space
1622,t
1627,h
1630,a
1632,t
1638,space
1652,r
1654,e
1671,q
1678,u
1682,i
1686,r
1688,e
1717,d
1721,space
1725,a
1732,space
1739,g
1746,r
1762,e
1768,a
1772,t
1784,space
1811,d
1816,e
1823,a
1830,l
1836,space
1840,o
1845,f
1849,space
1855,p
1857,r
1859,e
1869,d
1876,i
1877,c
1882,t
1886,i
1892,o
1898,n
1910,delete
1915,delete
1919,delete
1922,delete
1929,delete
1934,delete
1941,delete
1955,c
1960,i
1965,s
1970,i
1975,o
1980,n
2019,space
2023,a
2029,n
2030,d
2035,space
2054,e
2063,x
2076,p
2082,e
2086,r
2094,t
2096,i
2101,e
2107,s
2108,space
2126,delete
2131,delete
2137,delete
2161,s
2165,e
2169,space
2200,delete
2207,dot
2214,space
2219,o
2224,u
2229,r
2231,space
2235,t
2240,e
2245,a
2250,m
2257,space
2284,i
2291,n
2296,c
2299,l
2304,u
2308,d
2312,i
2318,n
2324,g
2329,space
2369,j
2374,a
2380,c
2386,k
2388,space
2396,a
2403,n
2407,d
2412,space
2424,z
2430,a
2438,r
2442,a
2472,comma
2477,space
2484,h
2488,a
2493,s
2499,space
2526,b
2532,e
2537,e
2544,n
2549,space
2559,d
2565,e
2580,delete
2596,i
2603,l
2608,i
2618,g
2624,e
2627,n
2631,t
2636,l
2644,y
2656,space
2693,a
2697,d
2701,d
2707,r
2708,e
2714,s
2716,s
2720,i
2726,n
2732,g
2738,space
2787,h
2796,delete
2800,t
2803,h
2806,e
2814,s
2820,e
2821,space
2859,c
2865,o
2869,m
2872,p
2879,l
2883,e
2890,x
2898,space
2929,i
2932,s
2936,s
2937,u
2943,e
2969,s
2986,dot
2993,space
3001,r
3003,e
3012,c
3017,e
3021,n
3024,t
3030,l
3035,y
3041,space
3059,w
3065,e
3071,space
3098,e
3105,n
3110,c
3115,o
3125,u
3133,n
3137,t
3144,e
3150,r
3167,d
3187,delete
3190,e
3196,d
3202,space
3207,a
3214,space
3267,f
3273,r
3277,e
3290,delete
3295,delete
3297,e
3301,w
3308,space
3359,u
3363,n
3376,e
3382,x
3391,p
3397,e
3403,c
3408,t
3414,i
3418,e
3424,d
3429,delete
3433,delete
3437,delete
3439,e
3446,d
3449,space
3459,b
3462,u
3468,g
3473,s
3479,space
3483,t
3486,h
3488,a
3492,t
3496,space
3511,l
3515,e
3521,d
3527,space
3532,t
3537,o
3542,space
3568,s
3571,o
3577,m
3580,e
3584,space
3591,c
3594,o
3599,n
3604,f
3607,u
3620,s
3624,i
3628,o
3632,n
3658,dot
3663,space
3667,h
3669,o
3675,w
3682,e
3689,v
3695,e
3699,r
3703,space
3722,delete
3729,comma
3733,space
3735,t
3739,h
3742,a
3745,n
3749,k
3754,space
3758,t
3773,o
3784,delete
3787,delete
3792,delete
3793,s
3797,space
3800,t
3804,o
3809,space
3829,q
3833,u
3838,i
3843,c
3849,k
3865,space
3893,t
3898,h
3902,i
3909,n
3911,g
3929,delete
3934,k
3940,i
3941,n
3943,g
3950,space
3969,a
3975,n
3977,d
3980,space
3985,e
3990,f
3995,f
3998,e
4004,c
4010,t
4015,i
4018,v
4024,e
4029,space
4058,t
4064,r
4067,o
4073,u
4077,b
4088,l
4093,e
4129,s
4134,h
4139,o
4143,o
4147,t
4149,i
4154,n
4160,g
4186,comma
4191,space
4199,w
4210,e
4216,space
4223,m
4229,e
4239,delete
4242,a
4248,n
4253,g
4258,e
4275,delete
4280,delete
4291,a
4294,g
4298,e
4303,space
4306,t
4310,o
4315,space
4332,delete
4337,delete
4341,delete
4346,delete
4350,delete
4355,d
4366,delete
4370,e
4374,d
4379,space
4382,t
4388,o
4393,space
4406,o
4409,v
4415,e
4419,r
4429,c
4430,o
4433,m
4438,e
4444,space
4468,t
4473,h
4477,e
4483,s
4488,e
4494,space
4535,p
4541,o
4547,r
4554,delete
4559,delete
4562,r
4566,o
4572,j
4582,b
4594,delete
4598,delete
4602,b
4608,e
4614,l
4623,delete
4626,delete
4631,l
4634,e
4639,m
4648,space
4675,delete
4682,s
4687,dot
4693,space
4703,t
4707,h
4710,e
4711,space
4714,p
4718,r
4721,o
4726,j
4729,e
4736,c
4742,t
4761,s
4767,space
4774,s
4782,u
4787,c
4792,c
4797,e
4807,s
4811,s
4856,space
4858,r
4861,e
4868,l
4874,i
4880,e
4886,s
4891,e
4903,delete
4911,space
4926,h
4930,e
4936,a
4942,v
4948,i
4949,l
4956,i
4965,delete
4972,y
4979,space
4999,o
5006,n
5008,space
5020,a
5028,c
5035,c
5049,u
5053,r
5057,a
5062,t
5064,e
5070,space
5109,e
5114,x
5121,e
5128,c
5135,u
5142,t
5146,i
5151,o
5155,n
5162,space
5172,o
5181,delete
5186,a
5189,n
5195,d
5199,space
5203,c
5208,a
5213,r
5216,e
5222,f
5226,u
5232,l
5237,l
5243,space
5273,delete
5277,delete
5283,space
5287,a
5292,n
5301,a
5316,l
5322,y
5326,s
5330,s
5331,i
5346,delete
5350,delete
5356,i
5358,s
5368,space
5386,delete
5395,comma
5401,space
5404,a
5408,n
5411,d
5415,space
5417,w
5424,e
5429,space
5436,a
5445,r
5449,e
5454,space
5462,p
5468,l
5470,e
5477,a
5487,s
5499,e
5504,d
5510,space
5514,t
5519,o
5524,space
5558,s
5567,delete
5570,r
5573,e
5579,p
5583,o
5585,r
5592,t
5595,space
5606,s
5609,i
5613,g
5617,n
5621,i
5639,f
5646,i
5651,c
5654,a
5662,n
5668,t
5675,space
5692,p
5697,r
5700,o
5708,j
5719,delete
5720,g
5725,r
5730,e
5737,s
5741,s
5767,dot
5771,space
5774,t
5778,h
5783,e
5786,space
5800,p
5804,r
5806,o
5810,j
5813,e
5819,c
5826,t
5830,space
5843,i
5846,n
5851,v
5855,o
5869,l
5873,v
5880,e
5889,s
5894,space
5920,e
5931,x
5938,t
5949,e
5955,n
5960,s
5964,i
5971,v
5976,e
5981,space
5988,u
5991,s
5996,e
6001,space
6007,o
6011,f
6015,space
6018,i
6025,n
6031,n
6037,o
6044,v
6048,a
6053,t
6056,i
6094,delete
6100,v
6109,delete
6114,i
6116,v
6121,e
6126,space
6147,t
6151,e
6158,c
6164,h
6174,n
6178,o
6194,l
6198,o
6202,g
6205,i
6210,e
6216,s
6217,space
6241,a
6245,n
6248,d
6252,space
6255,a
6260,d
6267,n
6272,v
6283,delete
6287,delete
6291,v
6294,a
6299,n
6303,c
6310,e
6315,d
6320,space
6355,l
6369,delete
6372,a
6376,l
6381,g
6385,o
6391,r
6398,i
6399,t
6401,h
6407,m
6435,s
6445,dot
6449,space
6454,x
6462,space
6476,delete
6481,r
6484,a
6491,y
6498,space
6503,a
6507,n
6511,a
6527,l
6534,y
6537,s
6544,i
6546,s
6555,space
6572,a
6575,n
6577,d
6581,space
6591,r
6602,delete
6608,p
6612,r
6614,e
6622,c
6625,i
6629,s
6631,e
6650,space
6675,m
6679,e
6684,a
6688,r
6700,delete
6703,s
6708,u
6712,r
6721,e
6730,m
6731,e
6736,n
6738,t
6775,s
6780,space
6784,a
6789,r
6789,e
6792,space
6797,k
6798,e
6804,y
6809,space
6815,t
6819,o
6826,space
6846,o
6851,u
6855,r
6859,space
6902,a
6908,p
6913,p
6923,r
6936,o
6940,a
6944,c
6948,h
6989,dot
6994,space
6997,w
6999,i
7004,t
7006,h
7013,space
7023,z
7026,i
7033,p
7037,p
7041,i
7047,n
7051,g
7055,space
7077,a
7082,n
7086,d
7090,space
7099,z
7105,a
7124,p
7130,p
7133,i
7138,n
7143,g
7149,space
7159,t
7161,h
7165,r
7168,o
7174,g
7176,u
7193,delete
7196,delete
7201,u
7206,g
7209,h
7213,space
7218,d
7222,a
7224,t
7225,a
7265,comma
7270,space
7272,w
7276,e
7283,space
7291,a
7301,r
7303,e
7309,space
7319,c
7322,o
7326,n
7331,f
7335,i
7344,c
7354,delete
7357,d
7362,e
7364,n
7368,t
7380,space
7387,t
7393,h
7396,a
7400,t
7407,space
7462,w
7469,e
7475,space
7479,w
7485,i
7492,l
7496,l
7500,space
7515,a
7521,c
7524,h
7528,i
7532,e
7539,v
7544,e
7558,space
7599,e
7607,x
7611,e
7614,c
7622,e
7636,delete
7646,l
7650,delete
7655,delete
7661,l
7664,e
7668,e
7670,n
7672,t
7676,space
7684,delete
7688,delete
7690,delete
7701,delete
7714,n
7720,t
7724,space
7744,r
7747,e
7754,s
7759,u
7765,l
7770,t
7801,s
7806,dot
7812,space
7819,w
7825,e
7829,space
