Frame,Key
41,t
46,h
50,e
55,space
61,f
64,i
67,v
72,e
72,space
79,b
96,o
103,x
106,i
112,n
115,g
120,space
129,w
131,i
135,a
147,delete
150,z
156,a
159,r
167,d
181,s
188,space
196,j
201,u
208,m
212,p
225,space
235,q
237,u
243,i
248,c
255,k
261,l
268,y
293,comma
297,dot
301,space
306,p
311,a
315,c
319,k
325,space
330,m
337,y
343,space
358,b
363,o
369,x
373,comma
385,delete
391,space
397,w
401,i
407,t
412,h
418,space
422,f
428,i
432,v
439,e
444,space
470,d
474,o
485,z
491,e
495,n
503,space
506,l
512,i
517,q
522,u
528,i
539,delete
544,o
549,r
556,space
580,j
585,u
588,g
594,s
623,comma
628,dot
634,space
642,g
645,o
650,space
657,l
660,a
666,z
673,y
680,space
685,f
691,a
695,t
703,space
718,v
726,e
737,delete
742,i
743,x
749,e
754,n
762,space
772,s
778,h
784,r
790,e
802,w
809,e
815,d
820,space
825,j
830,u
835,m
840,p
850,space
858,w
865,u
873,delete
883,delete
887,q
891,u
899,i
902,c
906,k
926,y
938,delete
944,l
950,y
961,comma
967,dot
972,space
977,w
981,h
986,e
991,n
998,space
1018,z
1021,o
1026,o
1033,b
1039,i
1042,e
1048,s
1056,space
1072,a
1079,r
1083,r
1089,o
1096,i
1105,delete
1109,delete
1118,i
1125,v
1130,e
1138,s
1144,space
1157,delete
1163,comma
1167,space
1171,q
1175,u
1181,i
1187,c
1193,k
1199,l
1206,y
1214,space
1226,f
1236,a
1239,x
1246,space
1255,j
1260,u
1268,d
1271,g
1275,e
1284,space
1296,b
1307,delete
1314,p
1318,a
1323,t
1331,comma
1336,dot
1344,space
1353,a
1358,m
1359,a
1368,z
1372,i
1378,n
1383,g
1388,l
1392,y
1400,space
1405,f
1412,e
1417,w
1425,space
1430,d
1438,i
1447,s
1454,c
1457,o
1463,t
1468,h
1518,e
1530,q
1534,u
1542,e
1562,s
1569,space
1579,p
1582,r
1586,o
1596,v
1602,i
1606,d
1612,e
1620,space
1639,j
1645,u
1647,k
1653,e
1659,space
1668,b
1675,o
1690,x
1697,e
1702,s
1723,comma
1728,dot
1733,space
1749,p
1755,u
1759,z
1762,z
1766,l
1771,e
1790,d
1792,space
1799,w
1806,o
1814,m
1818,e
1823,n
1832,space
1854,b
1859,e
1870,q
1874,u
1879,i
1889,delete
1893,e
1897,a
1932,t
1936,h
1938,a
1947,space
1970,j
1978,e
1984,r
1995,k
2006,s
2012,space
2024,v
2028,e
2031,r
2038,y
2042,space
2049,e
2056,x
2061,o
2065,t
2070,i
2073,c
2080,space
2098,g
2104,i
2107,f
2114,t
2121,s
2131,dot
2137,space
2155,t
2157,h
2161,e
2164,space
2171,q
2174,u
2178,i
2182,c
2187,k
2194,space
2210,o
2216,n
2225,y
2230,x
2241,space
2279,g
2284,l
2290,o
2298,delete
2301,delete
2313,o
2319,b
2323,l
2329,i
2333,n
2340,space
2348,j
2354,u
2360,m
2365,p
2369,s
2376,space
2380,o
2385,v
2391,e
2395,r
2399,space
2417,t
2421,h
2427,e
2427,space
2431,l
2443,z
2453,delete
2454,a
2460,z
2466,y
2472,space
2497,d
2504,w
2510,a
2517,f
2524,t
2539,delete
2543,delete
2546,f
2597,delete
2603,r
2610,f
2634,dot
2637,space
2641,b
2648,r
2654,w
2660,a
2669,delete
2674,delete
2676,a
2680,w
2684,n
2693,y
2700,space
2738,g
2742,o
2744,d
2750,s
2756,space
2763,j
2768,u
2770,s
2777,t
2782,space
2802,j
2807,u
2819,delete
2823,delete
2849,f
2850,l
2855,o
2870,c
2874,k
2877,e
2883,d
2884,space
2886,u
2892,p
2896,space
2902,t
2908,space
2918,delete
2922,delete
2926,q
2929,u
2939,delete
2943,delete
2959,t
2963,o
2967,space
2972,q
2975,u
2980,i
2987,z
2996,space
3003,a
3007,n
3010,d
3015,space
3022,v
3027,e
3035,x
3041,space
3046,h
3049,i
3057,m
3065,space
3079,delete
3086,dot
3087,space
3091,w
3096,a
3102,t
3108,c
3113,h
3119,space
3128,j
3142,e
3148,o
3152,r
3167,delete
3173,p
3175,a
3178,r
3184,d
3190,y
3200,space
3209,delete
3217,comma
3221,space
3226,a
3233,l
3244,e
3251,x
3257,space
3274,t
3279,r
3284,e
3294,b
3303,e
3321,k
3325,s
3332,space
3356,f
3360,u
3366,n
3376,space
3383,t
3388,v
3397,space
3421,q
3425,u
3431,i
3440,z
3450,space
3458,g
3461,a
3463,m
3465,e
3492,dot
3496,space
3500,s
3505,i
3510,x
3517,space
3523,b
3527,i
3531,g
3538,space
3564,d
3570,e
3579,v
3586,i
3591,l
3608,s
3613,space
3619,f
3625,r
3629,o
3634,m
3638,space
3644,j
3649,a
3654,p
3659,a
3662,n
3668,space
3678,q
3680,u
3686,i
3689,c
3693,k
3699,l
3707,y
3713,space
3727,b
3733,e
3737,space
3746,t
3753,h
3756,e
3760,space
3772,t
3778,w
3784,o
3789,e
3797,delete
3802,delete
3806,delete
3812,o
3816,w
3822,e
3827,r
3860,dot
3865,space
3868,j
3872,a
3877,c
3883,k
3889,space
3897,m
3900,a
3905,n
3912,a
3929,delete
3931,delete
3936,delete
3940,delete
3946,a
3950,m
3956,z
3974,delete
3976,a
3986,z
3993,e
3999,d
4005,space
4031,a
4035,space
4038,f
4043,e
4049,w
4055,space
4063,g
4070,i
4075,r
4078,l
4089,space
4134,delete
4138,s
4144,space
4150,b
4157,y
4163,space
4197,d
4202,r
4203,i
4214,p
4219,p
4225,i
4231,n
4238,delete
4243,delete
4246,delete
4249,delete
4254,delete
4261,o
4271,o
4282,delete
4291,p
4296,p
4301,i
4302,n
4307,g
4312,space
4317,h
4327,delete
4332,t
4335,h
4339,e
4342,space
4350,t
4358,delete
4368,a
4372,n
4376,t
4380,i
4391,q
4395,u
4404,e
4413,space
4437,o
4441,n
4450,y
4459,x
4468,space
4481,v
4487,a
4492,s
4497,e
4510,dot
4514,space
4517,a
4524,space
4534,q
4537,u
4544,c
4547,i
4555,delete
4559,delete
4562,i
4565,c
4567,k
4573,space
4606,m
4610,o
4613,v
4617,e
4621,m
4624,e
4629,n
4632,t
4637,space
4644,o
4648,f
4652,space
4657,t
4662,h
4667,e
4672,space
4681,e
4684,n
4695,e
4696,r
4708,m
4716,y
4724,space
4763,w
4768,i
4773,l
4778,l
4781,space
4785,j
4791,e
4796,o
4821,p
4826,a
4830,r
4839,d
4843,i
4849,z
4861,space
4874,s
4877,i
4882,x
4890,space
4895,g
4910,y
4915,n
4923,delete
4925,delete
4929,u
4936,n
4939,space
4944,b
4946,o
4952,a
4956,t
4965,s
4971,space
4987,delete
4994,dot
4999,space
5002,j
5007,a
5022,d
5028,e
5033,d
5040,space
5068,x
5068,o
5077,o
5087,delete
5091,delete
5097,delete
5103,z
5107,o
5111,o
5120,b
5126,i
5130,e
5136,s
5140,space
5153,a
5161,c
5173,e
5174,t
5191,delete
5195,delete
5197,t
5200,e
5204,d
5211,space
5220,q
5225,u
