Key,Time (ms),Frame
i,1739758649512,26
space,1739758649869,36
k,1739758650121,44
n,1739758650324,50
o,1739758650473,55
w,1739758650910,68
space,1739758651111,74
t,1739758651435,83
h,1739758651545,87
t,1739758651923,98
space,1739758652102,103
t,1739758652392,112
backspace,1739758652677,121
backspace,1739758652857,126
backspace,1739758653006,131
a,1739758653596,148
t,1739758653823,155
space,1739758654395,172
h,1739758654717,182
t,1739758654906,188
backspace,1739758655400,202
backspace,1739758655574,208
t,1739758656002,220
h,1739758656127,224
e,1739758656323,230
r,1739758656459,234
r,1739758656606,239
e,1739758656935,248
backspace,1739758657286,259
backspace,1739758657454,264
e,1739758658061,282
space,1739758658269,288
i,1739758658416,293
s,1739758658559,297
space,1739758658733,302
q,1739758658925,308
space,1739758659158,315
b,1739758659453,324
backspace,1739758659716,332
backspace,1739758659882,337
backspace,1739758660051,342
a,1739758660447,354
space,1739758660837,365
b,1739758661106,374
u,1739758661717,392
s,1739758661873,397
i,1739758662053,402
n,1739758662255,408
e,1739758662508,416
s,1739758662692,421
s,1739758662864,426
space,1739758663386,442
o,1739758664109,464
p,1739758664363,471
p,1739758664545,477
o,1739758664979,490
r,1739758666143,525
u,1739758666701,541
backspace,1739758667099,553
t,1739758667456,564
u,1739758667633,569
n,1739758667823,575
i,1739758668006,581
t,1739758668168,585
y,1739758669121,614
space,1739758669364,621
t,1739758669676,631
h,1739758669764,633
a,1739758669928,638
t,1739758670028,641
space,1739758670217,647
c,1739758670682,661
a,1739758670825,665
n,1739758671052,672
space,1739758671264,678
b,1739758671395,682
e,1739758671652,690
space,1739758671840,696
d,1739758672027,701
e,1739758672220,707
v,1739758672464,714
e,1739758672623,719
l,1739758673293,739
o,1739758673504,745
p,1739758673718,752
e,1739758673929,758
d,1739758674144,765
space,1739758674346,771
a,1739758674530,776
n,1739758674736,782
d,1739758674832,785
space,1739758675037,791
w,1739758675597,808
o,1739758675744,813
u,1739758675910,818
l,1739758676218,827
d,1739758676471,834
space,1739758676659,840
b,1739758676841,846
e,1739758677117,854
space,1739758677236,857
p,1739758677483,865
l,1739758678152,885
e,1739758678399,892
a,1739758678658,900
s,1739758678838,905
e,1739758679054,912
d,1739758679264,918
space,1739758679460,924
backspace,1739758679853,936
comma,1739758680198,946
space,1739758680621,959
2,1739758680735,962
h,1739758680927,968
e,1739758681174,976
backspace,1739758681513,986
backspace,1739758681657,990
backspace,1739758681807,995
w,1739758682138,1004
h,1739758682304,1009
e,1739758682429,1013
n,1739758682545,1017
space,1739758682794,1024
t,1739758682987,1030
h,1739758683103,1033
t,1739758683638,1049
u,1739758683789,1054
m,1739758684000,1060
u,1739758684191,1066
backspace,1739758684605,1079
backspace,1739758684748,1083
