Key,Time (ms),Frame
shift_l,1739755771879,39
i,1739755772441,56
n,1739755772709,64
space,1739755773076,75
2,1739755773554,89
0,1739755774289,111
1,1739755774906,130
backspace,1739755775554,149
2,1739755775819,157
6,1739755776943,191
backspace,1739755777698,213
6,1739755778056,224
comma,1739755778473,237
space,1739755778771,246
9,1739755781157,317
8,1739755782532,358
backspace,1739755783546,389
9,1739755784276,411
backspace,1739755785184,438
backspace,1739755785347,443
9,1739755786174,468
8,1739755786468,477
7,1739755787774,516
6,1739755788164,527
3,1739755789470,567
4,1739755789700,574
space,1739755790156,587
i,1739755790704,604
n,1739755790965,611
n,1739755791152,617
o,1739755791860,638
v,1739755792395,654
a,1739755792649,662
t,1739755792809,667
o,1739755793546,689
r,1739755794011,703
s,1739755794285,711
space,1739755794597,720
e,1739755794915,730
m,1739755795179,738
b,1739755795436,746
a,1739755795715,754
r,1739755795888,759
k,1739755796981,792
e,1739755797116,796
d,1739755797265,800
space,1739755797901,820
o,1739755798224,829
n,1739755798421,835
space,1739755798783,846
8,1739755799349,863
backspace,1739755800367,894
8,1739755800780,906
5,1739755802073,945
4,1739755803460,986
2,1739755804793,1026
3,1739755805211,1039
7,1739755806113,1066
space,1739755806512,1078
p,1739755806950,1091
r,1739755807249,1100
o,1739755807468,1107
h,1739755807726,1114
backspace,1739755808366,1134
j,1739755808758,1145
e,1739755808955,1151
c,1739755809205,1159
t,1739755809453,1166
space,1739755809717,1174
o,1739755810883,1209
v,1739755811189,1218
e,1739755811422,1225
r,1739755811622,1231
backspace,1739755812072,1245
backspace,1739755812237,1250
backspace,1739755812399,1255
backspace,1739755812541,1259
backspace,1739755812723,1264
s,1739755813409,1285
space,1739755813624,1291
o,1739755813917,1300
v,1739755814160,1307
e,1739755814362,1313
r,1739755814608,1321
space,1739755814811,1327
9,1739755816929,1390
1,1739755817530,1408
2,1739755817801,1417
3,1739755818208,1429
4,1739755819217,1459
5,1739755819619,1471
6,1739755820950,1511
space,1739755821367,1524
m,1739755821661,1532
o,1739755821826,1537
n,1739755822026,1543
t,1739755822217,1549
h,1739755822375,1554
s,1739755822590,1560
comma,1739755823271,1581
space,1739755823571,1590
c,1739755824101,1606
i,1739755824190,1608
n,1739755824469,1617
d,1739755824701,1624
backspace,1739755825077,1635
backspace,1739755825176,1638
backspace,1739755825371,1644
o,1739755826244,1670
n,1739755826550,1679
d,1739755826887,1689
u,1739755827544,1709
c,1739755827732,1714
t,1739755827949,1721
i,1739755828372,1734
n,1739755828613,1741
g,1739755828797,1746
space,1739755829128,1756
1,1739755829525,1768
8,1739755830477,1797
5,1739755832145,1847
6,1739755832809,1867
7,1739755833144,1877
0,1739755833606,1891
space,1739755834042,1904
e,1739755834452,1916
s,1739755834752,1925
backspace,1739755835517,1948
x,1739755835948,1961
p,1739755836733,1985
e,1739755836928,1990
r,1739755837126,1996
m,1739755837502,2008
i,1739755837729,2014
backspace,1739755838368,2034
backspace,1739755838542,2039
i,1739755839330,2062
m,1739755839596,2070
e,1739755839748,2075
n,1739755839918,2080
t,1739755840145,2087
s,1739755840476,2097
space,1739755840689,2103
d,1739755840839,2108
a,1739755841015,2113
i,1739755841262,2120
k,1739755841600,2131
y,1739755842099,2146
backspace,1739755842593,2160
backspace,1739755842753,2165
backspace,1739755842901,2170
i,1739755843619,2191
l,1739755843852,2198
y,1739755844109,2206
space,1739755844368,2214
a,1739755844632,2221
c,1739755844933,2231
r,1739755845225,2239
o,1739755845513,2248
s,1739755845668,2253
s,1739755845834,2258
space,1739755846237,2270
2,1739755846881,2289
0,1739755848169,2328
3,1739755849021,2353
7,1739755850237,2390
8,1739755851195,2418
9,1739755851432,2425
space,1739755851799,2437
k,1739755852378,2454
backspace,1739755853028,2473
l,1739755853995,2502
a,1739755854627,2521
b,1739755854874,2529
o,1739755855337,2543
r,1739755855551,2549
q,1739755855765,2555
t,1739755855887,2559
o,1739755856228,2569
backspace,1739755856556,2579
backspace,1739755856709,2584
backspace,1739755856857,2588
backspace,1739755857015,2593
r,1739755857795,2616
t,1739755858180,2628
o,1739755858317,2632
r,1739755858512,2638
i,1739755858648,2642
backspace,1739755858971,2652
backspace,1739755859137,2657
backspace,1739755859293,2661
backspace,1739755859454,2666
a,1739755860044,2684
t,1739755860664,2702
o,1739755860944,2711
r,1739755861425,2725
e,1739755861750,2735
s,1739755861981,2742
backspace,1739755862463,2756
backspace,1739755862623,2761
i,1739755863486,2787
e,1739755863607,2791
s,1739755863854,2798
comma,1739755864190,2808
space,1739755864544,2819
e,1739755865968,2862
q,1739755867420,2905
u,1739755867631,2911
i,1739755868039,2924
p,1739755868272,2931
p,1739755868451,2936
e,1739755868818,2947
d,1739755869041,2954
space,1739755869204,2959
w,1739755869352,2963
i,1739755869484,2967
t,1739755869656,2972
h,1739755869793,2976
space,1739755870024,2983
5,1739755870868,3009
6,1739755871091,3015
0,1739755871944,3041
0,1739755872082,3045
space,1739755872698,3063
c,1739755872899,3070
o,1739755873490,3087
m,1739755873728,3094
o,1739755873900,3100
u,1739755874077,3105
t,1739755874259,3110
backspace,1739755874795,3126
backspace,1739755874957,3131
backspace,1739755875123,3136
p,1739755875769,3156
u,1739755876062,3164
t,1739755876300,3172
e,1739755876652,3182
r,1739755876745,3185
s,1739755877243,3200
space,1739755877454,3206
a,1739755877621,3211
n,1739755878780,3246
d,1739755878948,3251
space,1739755879163,3257
4,1739755879611,3271
4,1739755879767,3276
0,1739755880178,3288
space,1739755880486,3297
m,1739755880908,3310
a,1739755881095,3315
c,1739755881541,3329
h,1739755881660,3332
9,1739755881824,3337
n,1739755882137,3347
e,1739755882287,3351
backspace,1739755882559,3359
backspace,1739755882708,3364
backspace,1739755882890,3369
i,1739755883389,3384
n,1739755883593,3390
e,1739755883778,3396
s,1739755884020,3403
comma,1739755884590,3420
space,1739755884863,3428
c,1739755885372,3444
h,1739755885598,3450
backspace,1739755886001,3463
backspace,1739755886147,3467
backspace,1739755886318,3472
space,1739755886871,3489
e,1739755887132,3496
q,1739755887270,3501
c,1739755887488,3507
backspace,1739755888025,3523
backspace,1739755888189,3528
backspace,1739755888333,3533
e,1739755889067,3555
a,1739755889269,3561
c,1739755889769,3576
h,1739755889956,3581
space,1739755890195,3588
p,1739755890671,3603
r,1739755890969,3612
o,1739755891188,3618
c,1739755891493,3627
s,1739755892196,3648
s,1739755892333,3653
backspace,1739755893038,3674
backspace,1739755893203,3679
e,1739755893512,3688
s,1739755893718,3694
s,1739755893892,3699
s,1739755894013,3703
backspace,1739755894753,3725
i,1739755895104,3736
n,1739755895338,3743
g,1739755895606,3751
space,1739755895891,3759
9,1739755897192,3798
2,1739755897616,3811
backspace,1739755898328,3832
1,1739755898788,3846
2,1739755899072,3855
3,1739755899411,3865
4,1739755900448,3896
5,1739755900724,3904
space,1739755901031,3913
d,1739755901586,3930
a,1739755901873,3939
t,1739755902068,3945
a,1739755902352,3953
s,1739755902380,3954
e,1739755903127,3976
t,1739755903311,3982
s,1739755903665,3992
period,1739755904603,4021
space,1739755904895,4029
shift_l,1739755905405,4045
o,1739755905860,4058
v,1739755906095,4065
e,1739755906345,4073
e,1739755906567,4080
backspace,1739755907020,4093
r,1739755907483,4107
space,1739755907694,4113
w,1739755908560,4139
backspace,1739755909244,4160
8,1739755910368,4194
3,1739755911673,4233
2,1739755911924,4240
1,1739755912537,4259
2,1739755913003,4273
2,1739755913195,4278
space,1739755913574,4290
p,1739755914229,4309
r,1739755914445,4316
o,1739755914561,4319
t,1739755915199,4339
o,1739755915368,4344
t,1739755915971,4362
backspace,1739755916069,4365
p,1739755916939,4391
e,1739755917115,4396
s,1739755917398,4404
space,1739755917568,4410
backspace,1739755917831,4417
backspace,1739755918008,4423
backspace,1739755918138,4427
backspace,1739755918299,4432
t,1739755918833,4448
y,1739755919014,4453
p,1739755919237,4460
e,1739755919561,4469
s,1739755919800,4477
space,1739755920045,4484
w,1739755920284,4491
e,1739755920474,4497
r,1739755920706,4504
space,1739755921025,4513
backspace,1739755922155,4547
e,1739755922464,4556
space,1739755923036,4574
d,1739755923181,4578
e,1739755923387,4584
v,1739755923565,4589
e,1739755923728,4594
l,1739755924063,4604
o,1739755924291,4611
p,1739755924533,4619
e,1739755924787,4626
d,1739755924994,4632
space,1739755925242,4640
backspace,1739755925608,4651
comma,1739755925973,4662
space,1739755926270,4671
7,1739755926999,4693
4,1739755927733,4715
1,1739755928718,4744
5,1739755929383,4764
6,1739755930821,4807
7,1739755931012,4813
space,1739755931397,4824
e,1739755932743,4865
r,1739755933129,4876
r,1739755933289,4881
o,1739755933520,4888
r,1739755933619,4891
s,1739755934043,4904
space,1739755934319,4912
w,1739755934528,4918
e,1739755934809,4927
r,1739755935250,4940
e,1739755935582,4950
space,1739755935952,4961
f,1739755936160,4967
i,1739755936496,4977
x,1739755936704,4984
e,1739755937015,4993
d,1739755937256,5000
space,1739755937497,5007
backspace,1739755938247,5030
comma,1739755938585,5040
space,1739755938878,5049
a,1739755939095,5055
n,1739755939304,5062
d,1739755939491,5067
space,1739755939709,5074
2,1739755940272,5091
2,1739755940420,5095
0,1739755941286,5121
space,1739755941595,5130
f,1739755941941,5141
o,1739755942337,5153
r,1739755942523,5158
m,1739755942858,5168
u,1739755943060,5174
o,1739755943313,5182
a,1739755943602,5191
s,1739755943776,5196
backspace,1739755944094,5205
backspace,1739755944280,5211
l,1739755944750,5225
backspace,1739755945089,5235
backspace,1739755945251,5240
backspace,1739755945395,5244
u,1739755946367,5274
l,1739755946603,5281
a,1739755946884,5289
s,1739755946984,5292
space,1739755947284,5301
w,1739755947518,5308
e,1739755947906,5320
r,1739755948108,5326
e,1739755948426,5335
space,1739755948726,5344
o,1739755949260,5360
p,1739755949450,5366
t,1739755949783,5376
i,1739755949947,5381
m,1739755950227,5389
backspace,1739755950614,5401
m,1739755951478,5427
i,1739755951679,5433
z,1739755952051,5444
e,1739755952303,5452
d,1739755952513,5458
space,1739755952846,5468
backspace,1739755953218,5479
period,1739755953709,5494
space,1739755954032,5503
shift_r,1739755954925,5530
b,1739755955285,5541
y,1739755955525,5548
space,1739755955807,5557
d,1739755956682,5583
a,1739755956864,5588
y,1739755957395,5604
space,1739755957806,5617
4,1739755958179,5628
5,1739755958409,5635
6,1739755959399,5665
7,1739755959614,5671
8,1739755960034,5684
space,1739755960376,5694
backspace,1739755960762,5705
comma,1739755961378,5724
space,1739755961609,5731
t,1739755961875,5739
h,1739755961997,5742
e,1739755962169,5748
y,1739755962314,5752
space,1739755962568,5760
o,1739755962907,5770
v,1739755963404,5785
e,1739755963728,5794
r,1739755963823,5797
c,1739755964118,5806
a,1739755964317,5812
m,1739755964495,5817
e,1739755964671,5823
space,1739755965031,5833
1,1739755966621,5881
7,1739755967118,5896
space,1739755967407,5905
m,1739755967680,5913
a,1739755967874,5919
j,1739755968298,5931
o,1739755968497,5937
r,1739755968775,5946
space,1739755969087,5955
o,1739755969235,5960
b,1739755969452,5966
s,1739755969771,5976
g,1739755970023,5983
a,1739755970296,5991
backspace,1739755970726,6004
backspace,1739755970901,6010
t,1739755971177,6018
a,1739755971407,6025
c,1739755971990,6042
l,1739755972142,6047
e,1739755972312,6052
s,1739755972559,6059
space,1739755972807,6067
backspace,1739755973101,6076
comma,1739755973679,6093
space,1739755973975,6102
e,1739755974057,6104
x,1739755974387,6114
p,1739755974845,6128
a,1739755975545,6149
b,1739755975730,6154
backspace,1739755976470,6177
n,1739755976942,6191
d,1739755977066,6195
u,1739755977438,6206
n,1739755977614,6211
g,1739755977818,6217
space,1739755978023,6223
backspace,1739755978417,6235
backspace,1739755978687,6243
backspace,1739755978859,6248
backspace,1739755979027,6253
i,1739755979655,6272
n,1739755979914,6280
g,1739755980072,6285
space,1739755980169,6288
t,1739755980292,6291
h,1739755980424,6295
space,1739755980738,6305
i,1739755980988,6312
n,1739755981174,6318
backspace,1739755981511,6328
backspace,1739755981678,6333
backspace,1739755981841,6338
e,1739755982349,6353
space,1739755982607,6361
i,1739755982756,6365
n,1739755983000,6373
i,1739755983173,6378
i,1739755983504,6388
t,1739755983718,6394
backspace,1739755984488,6417
backspace,1739755984654,6422
t,1739755984888,6429
i,1739755985040,6434
a,1739755985337,6443
t,1739755985622,6451
i,1739755985813,6457
v,1739755986017,6463
e,1739755986245,6470
space,1739755986407,6475
t,1739755986602,6481
i,1739755986760,6485
space,1739755986973,6492
backspace,1739755987504,6508
backspace,1739755987676,6513
o,1739755987951,6521
space,1739755988239,6530
s,1739755988431,6535
u,1739755988557,6539
p,1739755988798,6546
p,1739755988975,6552
o,1739755989338,6563
r,1739755989476,6567
t,1739755989692,6573
space,1739755989925,6580
9,1739755993098,6675
8,1739755993306,6682
space,1739755993672,6693
backspace,1739755994044,6704
2,1739755994453,6716
3,1739755994643,6722
4,1739755994896,6729
space,1739755995486,6747
c,1739755995751,6755
i,1739755995875,6759
t,1739755996097,6765
i,1739755996238,6770
e,1739755996408,6775
s,1739755996700,6784
space,1739755996959,6791
u,1739755997155,6797
s,1739755997323,6802
i,1739755997411,6805
n,1739755997605,6811
g,1739755997816,6817
space,1739755998065,6824
7,1739755998632,6841
5,1739755999186,6858
8,1739756000019,6883
space,1739756000285,6891
f,1739756000553,6899
o,1739756000661,6902
r,1739756000803,6907
m,1739756001469,6927
j,1739756001651,6932
l,1739756001855,6938
a,1739756002116,6946
backspace,1739756002404,6955
backspace,1739756002554,6959
backspace,1739756002738,6965
u,1739756003277,6981
l,1739756003538,6989
a,1739756003728,6994
s,1739756003973,7002
space,1739756004250,7010
a,1739756004406,7015
n,1739756004568,7020
d,1739756004866,7029
space,1739756005125,7036
1,1739756005421,7045
2,1739756005665,7052
6,1739756006990,7092
7,1739756007382,7104
8,1739756007767,7116
space,1739756008134,7127
r,1739756008449,7136
e,1739756008681,7143
a,1739756009064,7154
c,1739756009355,7163
t,1739756009558,7169
o,1739756009692,7173
r,1739756009876,7179
s,1739756010179,7188
period,1739756011312,7222
space,1739756011629,7231
shift_r,1739756012143,7247
t,1739756012626,7261
h,1739756012824,7267
i,1739756013249,7280
r,1739756013498,7287
backspace,1739756013914,7300
backspace,1739756014105,7306
e,1739756014529,7318
i,1739756014647,7322
r,1739756014974,7332
space,1739756015222,7339
1,1739756015579,7350
2,1739756015787,7356
backspace,1739756016179,7368
3,1739756016522,7378
