Key,Time (ms),Frame
h,1739750660560,66
e,1739750660822,74
l,1739750661980,109
l,1739750662169,114
o,1739750662859,135
space,1739750663393,151
j,1739750663731,161
o,1739750663950,168
h,1739750664184,175
n,1739750664390,181
space,1739750664676,189
backspace,1739750665056,201
comma,1739750665599,217
space,1739750665780,223
t,1739750665970,228
h,1739750666083,232
a,1739750666269,237
n,1739750666447,243
j,1739750666618,248
space,1739750666837,254
y,1739750667060,261
o,1739750667289,268
backspace,1739750667717,281
backspace,1739750667898,286
backspace,1739750668085,292
backspace,1739750668742,311
k,1739750669221,326
space,1739750669472,333
y,1739750669695,340
o,1739750669884,346
u,1739750669999,349
space,1739750670316,359
f,1739750670535,365
o,1739750670610,367
r,1739750671076,381
space,1739750671440,392
w,1739750671775,402
h,1739750671911,406
o,1739750672127,413
p,1739750672384,421
p,1739750672508,424
backspace,1739750672942,437
backspace,1739750673126,443
backspace,1739750673277,447
backspace,1739750673442,452
backspace,1739750673648,459
s,1739750674126,473
h,1739750674409,481
o,1739750674874,495
p,1739750675122,503
p,1739750675298,508
i,1739750675481,514
n,1739750675687,520
g,1739750675878,525
space,1739750676112,533
a,1739750676311,538
t,1739750676536,545
space,1739750676750,552
o,1739750676940,557
u,1739750677125,563
r,1739750677347,570
space,1739750677608,577
w,1739750678024,590
e,1739750678254,597
b,1739750678495,604
s,1739750678688,610
i,1739750678900,616
t,1739750679024,620
e,1739750679212,626
period,1739750679893,646
space,1739750680143,653
w,1739750680267,657
e,1739750680480,664
space,1739750680700,670
g,1739750680915,677
u,1739750681628,698
a,1739750681779,703
r,1739750681967,708
e,1739750682234,716
n,1739750682450,723
backspace,1739750683008,739
backspace,1739750683179,745
a,1739750683694,760
n,1739750683888,766
t,1739750684025,770
e,1739750684221,776
e,1739750684769,792
space,1739750685259,807
y,1739750685529,815
o,1739750685766,822
u,1739750685950,828
r,1739750686693,850
space,1739750686909,856
s,1739750687117,863
t,1739750687300,868
a,1739750687472,873
backspace,1739750688014,890
backspace,1739750688200,895
a,1739750688638,908
t,1739750688808,913
i,1739750689080,922
s,1739750689253,927
space,1739750689444,932
backspace,1739750689896,946
f,1739750690378,960
q,1739750690494,964
c,1739750690699,970
t,1739750691001,979
backspace,1739750691347,990
backspace,1739750691527,995
backspace,1739750691699,1000
a,1739750692109,1012
c,1739750692382,1021
t,1739750692607,1027
o,1739750692854,1035
backspace,1739750693544,1055
i,1739750693816,1064
o,1739750694001,1069
n,1739750694136,1073
space,1739750694490,1084
w,1739750694691,1090
i,1739750694790,1093
t,1739750694968,1098
h,1739750695124,1103
space,1739750695416,1112
o,1739750695648,1119
u,1739750695849,1125
r,1739750696096,1132
space,1739750696372,1140
h,1739750696561,1146
i,1739750696741,1151
g,1739750696860,1155
h,1739750697476,1173
space,1739750697777,1182
q,1739750698032,1190
u,1739750698226,1196
a,1739750698430,1202
l,1739750699211,1225
i,1739750699428,1232
t,1739750699644,1238
y,1739750699775,1242
space,1739750700088,1252
p,1739750700272,1257
r,1739750700497,1264
o,1739750700595,1267
d,1739750701183,1285
u,1739750701565,1296
c,1739750701845,1304
t,1739750702065,1311
s,1739750702317,1319
space,1739750702495,1324
a,1739750702652,1329
n,1739750703477,1353
d,1739750703680,1360
space,1739750703913,1367
c,1739750704136,1373
u,1739750704356,1380
s,1739750704538,1385
t,1739750704682,1390
i,1739750704963,1398
m,1739750705149,1404
e,1739750705361,1410
backspace,1739750705819,1424
backspace,1739750705985,1429
backspace,1739750706142,1433
o,1739750706791,1453
m,1739750707103,1462
e,1739750707322,1469
r,1739750707497,1474
space,1739750707745,1481
s,1739750707952,1488
u,1739750708142,1493
p,1739750708360,1500
p,1739750708534,1505
o,1739750708787,1513
r,1739750708910,1516
t,1739750709126,1523
space,1739750709405,1531
backspace,1739750709789,1543
period,1739750710380,1561
space,1739750710571,1566
s,1739750710743,1571
i,1739750710842,1574
n,1739750711062,1581
c,1739750711211,1585
e,1739750711450,1593
space,1739750711641,1598
y,1739750711949,1608
o,1739750712125,1613
u,1739750712253,1617
space,1739750712817,1634
backspace,1739750713250,1647
r,1739750713710,1660
space,1739750713826,1664
e,1739750714070,1671
s,1739750714338,1679
o,1739750714564,1686
e,1739750714788,1693
r,1739750714894,1696
backspace,1739750715175,1704
backspace,1739750715351,1710
backspace,1739750715509,1714
backspace,1739750715691,1720
c,1739750716161,1734
backspace,1739750716949,1758
x,1739750717257,1767
p,1739750717560,1776
e,1739750717774,1782
r,1739750717906,1786
t,1739750719019,1820
i,1739750719255,1827
s,1739750719492,1834
e,1739750720028,1850
space,1739750720172,1854
w,1739750720325,1859
i,1739750720458,1863
t,1739750720615,1868
h,1739750720783,1873
space,1739750720928,1877
t,1739750721077,1881
h,1739750721206,1885
e,1739750721398,1891
space,1739750721512,1895
i,1739750721879,1906
r,1739750722059,1911
d,1739750722343,1919
backspace,1739750722704,1930
backspace,1739750722867,1935
backspace,1739750723045,1940
o,1739750723530,1955
r,1739750723767,1962
d,1739750724003,1969
e,1739750724233,1976
r,1739750724431,1982
space,1739750724641,1988
d,1739750724861,1995
i,1739750725065,2001
d,1739750725198,2005
space,1739750725684,2020
n,1739750725876,2025
o,1739750726062,2031
t,1739750726264,2037
space,1739750726571,2046
l,1739750726721,2051
i,1739750726910,2056
v,1739750727066,2061
e,1739750727283,2068
space,1739750727840,2084
u,1739750728142,2093
p,1739750728354,2100
space,1739750728575,2106
t,1739750728773,2112
o,1739750728959,2118
space,1739750729149,2124
o,1739750729545,2135
u,1739750729726,2141
r,1739750729940,2147
space,1739750730152,2154
h,1739750730387,2161
i,1739750730568,2166
g,1739750730740,2171
h,1739750730890,2176
space,1739750731261,2187
s,1739750731484,2194
t,1739750731679,2200
a,1739750731942,2207
n,1739750732248,2217
d,1739750732415,2222
a,1739750732909,2236
r,1739750733131,2243
d,1739750733429,2252
s,1739750733641,2258
backspace,1739750734242,2276
s,1739750735254,2307
comma,1739750735725,2321
space,1739750735878,2325
w,1739750736006,2329
e,1739750736253,2337
space,1739750736481,2344
h,1739750736781,2353
v,1739750736951,2358
e,1739750737168,2364
space,1739750737331,2369
backspace,1739750737681,2380
backspace,1739750737848,2385
backspace,1739750738016,2390
a,1739750738471,2403
v,1739750738677,2409
e,1739750738872,2415
space,1739750739005,2419
i,1739750739215,2426
s,1739750739340,2429
s,1739750739507,2434
u,1739750739613,2438
e,1739750739860,2445
d,1739750740331,2459
space,1739750740548,2466
y,1739750740851,2475
o,1739750741058,2481
u,1739750741230,2486
space,1739750741568,2496
a,1739750741750,2502
space,1739750742449,2523
c,1739750742829,2534
r,1739750743518,2555
e,1739750743720,2561
d,1739750744005,2569
i,1739750744120,2573
t,1739750744332,2579
space,1739750744535,2585
u,1739750744650,2589
n,1739750744853,2595
space,1739750745097,2602
backspace,1739750745509,2614
backspace,1739750745682,2620
backspace,1739750745844,2624
i,1739750746388,2641
n,1739750746642,2648
space,1739750746848,2655
t,1739750746970,2658
h,1739750747133,2663
e,1739750747299,2668
space,1739750747426,2672
a,1739750747726,2681
m,1739750747932,2687
i,1739750747962,2688
i,1739750748110,2692
u,1739750748310,2698
backspace,1739750748821,2714
backspace,1739750748989,2719
backspace,1739750749145,2723
o,1739750749640,2738
u,1739750749820,2744
n,1739750750037,2750
t,1739750750606,2767
space,1739750750763,2772
i,1739750750939,2777
space,1739750751225,2786
backspace,1739750751766,2802
backspace,1739750751942,2807
backspace,1739750752071,2811
space,1739750752537,2825
o,1739750752802,2833
f,1739750753064,2841
space,1739750753160,2844
a,1739750753595,2857
space,1739750753839,2864
h,1739750754045,2870
u,1739750754244,2876
n,1739750754776,2892
d,1739750754958,2898
r,1739750755308,2908
e,1739750755444,2912
d,1739750755727,2921
space,1739750755905,2926
period,1739750756419,2942
backspace,1739750756905,2956
backspace,1739750757072,2961
period,1739750757645,2978
space,1739750757876,2985
p,1739750758129,2993
l,1739750759243,3026
e,1739750759476,3033
a,1739750759727,3041
s,1739750759924,3047
e,1739750760166,3054
space,1739750760329,3059
a,1739750760563,3066
l,1739750760814,3074
l,1739750760998,3079
o,1739750761400,3091
w,1739750761540,3095
space,1739750761790,3103
t,1739750762034,3110
h,1739750762216,3116
e,1739750762379,3121
backspace,1739750763014,3140
r,1739750763309,3148
e,1739750763494,3154
e,1739750763667,3159
space,1739750763963,3168
i,1739750764370,3180
space,1739750764473,3183
backspace,1739750765054,3201
backspace,1739750765218,3206
t,1739750765691,3220
o,1739750765899,3226
space,1739750766085,3232
f,1739750766223,3236
i,1739750766366,3240
v,1739750766475,3243
e,1739750766731,3251
space,1739750766949,3258
d,1739750767180,3265
a,1739750767383,3271
y,1739750767996,3289
s,1739750768199,3295
space,1739750768420,3302
f,1739750768604,3307
i,1739750768828,3314
r,1739750769013,3320
space,1739750769287,3328
backspace,1739750769619,3338
backspace,1739750769764,3342
backspace,1739750769929,3347
o,1739750770423,3362
u,1739750770635,3368
backspace,1739750771123,3383
r,1739750771479,3394
space,1739750771627,3398
y,1739750771856,3405
o,1739750772059,3411
u,1739750772111,3412
r,1739750772514,3425
space,1739750772683,3430
b,1739750773013,3440
a,1739750773162,3444
n,1739750773423,3452
j,1739750773703,3460
space,1739750774013,3470
backspace,1739750774542,3485
backspace,1739750774712,3491
k,1739750775066,3501
space,1739750775290,3508
t,1739750775464,3513
o,1739750775561,3516
space,1739750775810,3523
a,1739750776079,3532
o,1739750776290,3538
p,1739750776460,3543
l,1739750776771,3552
backspace,1739750777096,3562
backspace,1739750777264,3567
backspace,1739750777428,3572
p,1739750778004,3589
p,1739750778185,3595
l,1739750778439,3602
u,1739750778731,3611
backspace,1739750779378,3630
y,1739750779601,3637
space,1739750779790,3643
t,1739750779925,3647
h,1739750780057,3651
i,1739750780225,3656
s,1739750780388,3661
space,1739750780578,3666
c,1739750780808,3673
r,1739750781162,3684
e,1739750781333,3689
d,1739750781560,3696
i,1739750781745,3701
t,1739750781925,3707
space,1739750782117,3713
t,1739750782259,3717
o,1739750782453,3723
space,1739750782658,3729
y,1739750783034,3740
o,1739750783255,3747
u,1739750783447,3753
r,1739750784004,3769
space,1739750784254,3777
a,1739750784539,3785
c,1739750785070,3801
c,1739750785217,3806
o,1739750785481,3814
u,1739750785617,3818
n,1739750785822,3824
t,1739750786024,3830
period,1739750786496,3844
space,1739750786803,3853
i,1739750787042,3860
f,1739750787297,3868
space,1739750787525,3875
y,1739750787778,3882
o,1739750788008,3889
u,1739750788185,3895
space,1739750788613,3908
h,1739750788871,3915
a,1739750788984,3919
v,1739750789147,3924
e,1739750789378,3930
space,1739750789544,3935
a,1739750789683,3940
n,1739750790048,3951
y,1739750790331,3959
space,1739750790600,3967
q,1739750790821,3974
u,1739750791011,3979
e,1739750791212,3986
w,1739750791572,3996
t,1739750791776,4002
i,1739750791955,4008
o,1739750792125,4013
backspace,1739750792562,4026
backspace,1739750792731,4031
backspace,1739750792897,4036
backspace,1739750793425,4052
s,1739750793789,4063
t,1739750793975,4068
i,1739750794147,4074
i,1739750794429,4082
n,1739750794649,4089
s,1739750794888,4096
backspace,1739750795154,4104
backspace,1739750795318,4109
backspace,1739750795494,4114
o,1739750796118,4133
n,1739750796342,4139
s,1739750796586,4147
comma,1739750797015,4160
space,1739750797266,4167
p,1739750797390,4171
l,1739750798051,4191
e,1739750798169,4194
a,1739750798409,4201
s,1739750798578,4206
e,1739750798777,4212
space,1739750798983,4219
v,1739750799285,4228
i,1739750799442,4232
s,1739750799532,4235
i,1739750799699,4240
t,1739750799841,4244
space,1739750800190,4255
c,1739750800391,4261
u,1739750800625,4268
s,1739750800679,4270
t,1739750800909,4276
o,1739750801156,4284
m,1739750801305,4288
e,1739750801552,4296
r,1739750801811,4303
space,1739750802270,4317
s,1739750802438,4322
u,1739750802637,4328
p,1739750802856,4335
p,1739750803037,4340
o,1739750803314,4349
r,1739750803494,4354
t,1739750803711,4360
period,1739750804258,4377
space,1739750804496,4384
t,1739750804695,4390
