Key,Frame
g,61
shift_r,61
o,73
o,78
d,82
space,87
a,95
f,99
t,105
e,111
r,114
n,120
o,124
o,130
n,131
comma,156
space,160
t,170
shift_r,171
h,178
e,183
space,186
b,192
o,196
a,201
r,206
d,213
space,218
o,222
f,226
space,230
d,241
backspace,251
shift_r,271
d,271
i,276
r,282
e,288
c,295
t,309
o,315
r,321
s,329
space,335
m,353
e,358
a,366
t,370
i,374
n,380
g,384
space,388
backspace,401
s,405
space,410
a,414
h,418
v,424
e,429
space,433
b,439
e,444
e,450
space,459
backspace,466
backspace,470
backspace,476
backspace,479
backspace,485
backspace,488
backspace,493
backspace,497
backspace,502
h,520
a,526
v,529
e,533
space,536
b,543
e,547
e,552
n,559
space,564
s,569
c,579
h,584
e,599
d,617
u,620
e,627
backspace,645
l,653
e,653
d,660
space,666
a,669
s,673
space,678
f,686
o,693
l,714
l,731
o,736
w,739
s,747
comma,765
space,770
shift_l,778
j,779
a,794
n,800
u,823
a,828
r,837
y,842
comma,861
space,866
p,872
r,876
e,879
v,891
i,896
o,901
u,904
s,909
l,913
y,918
space,924
c,932
o,934
n,938
f,943
i,953
r,958
m,961
e,965
d,972
space,977
backspace,991
comma,1001
space,1005
shift_l,1021
m,1023
a,1028
y,1033
comma,1042
space,1049
shift_l,1072
j,1072
u,1077
l,1084
a,1089
backspace,1101
y,1104
space,1112
backspace,1126
comma,1134
space,1138
a,1141
n,1143
d,1147
space,1151
shift_l,1161
o,1163
c,1168
t,1175
o,1179
b,1185
e,1196
r,1199
period,1226
space,1230
e,1237
shift_r,1238
a,1241
c,1247
h,1252
space,1258
m,1265
e,1268
e,1274
t,1279
i,1283
n,1289
g,1293
space,1297
w,1300
i,1304
l,1309
l,1314
space,1318
t,1320
a,1324
k,1330
e,1335
space,1340
p,1347
a,1351
l,1355
backspace,1369
backspace,1373
l,1381
a,1383
c,1389
e,1396
space,1403
f,1405
r,1412
o,1418
m,1423
space,1426
9,1484
period,1497
minus,1549
backspace,1566
0,1576
0,1584
space,1596
a,1616
shift_r,1617
m,1631
shift_l,1631
space,1637
t,1649
o,1653
space,1658
n,1674
o,1678
o,1683
n,1686
period,1695
space,1702
shift_r,1727
f,1730
u,1736
r,1742
t,1753
h,1759
e,1764
r,1767
space,1775
l,1783
o,1789
s,1798
backspace,1811
g,1817
i,1819
s,1827
t,1833
i,1874
c,1878
a,1882
l,1885
space,1900
d,1909
e,1915
t,1920
a,1925
i,1929
l,1935
s,1941
space,1947
w,1956
i,1961
l,1972
l,1977
space,1981
b,1984
e,1991
space,1995
a,2003
n,2007
o,2016
backspace,2028
n,2035
o,2041
u,2044
backspace,2058
n,2077
c,2084
e,2091
backspace,2101
backspace,2105
backspace,2111
u,2115
n,2122
d,2128
backspace,2139
c,2143
e,2149
d,2163
space,2169
c,2173
l,2177
o,2183
s,2186
e,2197
r,2203
space,2208
t,2224
o,2227
space,2233
e,2242
a,2245
c,2252
h,2257
space,2262
m,2275
e,2280
e,2290
t,2295
i,2298
n,2305
g,2308
space,2311
e,2315
backspace,2337
d,2344
a,2349
t,2353
e,2363
period,2402
space,2407
shift_l,2431
i,2433
f,2445
space,2450
y,2457
o,2462
u,2464
space,2469
h,2475
a,2481
v,2490
e,2495
space,2500
a,2504
n,2508
y,2514
space,2518
q,2524
u,2530
e,2532
s,2538
t,2544
i,2546
o,2552
n,2556
space,2561
backspace,2579
s,2583
comma,2590
space,2595
p,2599
l,2604
e,2607
a,2613
s,2616
space,2626
backspace,2636
e,2639
space,2644
f,2647
e,2651
e,2657
l,2662
space,2676
f,2680
r,2696
e,2697
e,2703
space,2707
t,2712
o,2716
space,2720
c,2732
o,2734
n,2738
t,2740
a,2753
c,2758
t,2767
space,2771
e,2790
g,2797
i,2801
backspace,2814
backspace,2819
i,2826
g,2830
h,2834
t,2837
backspace,2879
backspace,2883
backspace,2888
backspace,2892
i,2908
g,2913
backspace,2921
t,2926
h,2928
e,2933
r,2936
space,2944
shift_l,2957
k,2958
e,2967
i,2972
g,2977
h,2981
space,2994
backspace,3012
backspace,3022
backspace,3028
t,3035
h,3038
space,3045
shift_l,3056
l,3057
a,3068
r,3072
n,3081
e,3086
y,3093
space,3100
o,3105
r,3110
space,3112
m,3117
e,3123
period,3131
space,3137
shift_r,3144
t,3144
a,3150
h,3154
n,3160
backspace,3168
backspace,3174
backspace,3184
h,3202
a,3206
n,3211
k,3214
space,3221
y,3229
o,3235
u,3237
period,3247
