Key,Time (ms),Frame
shift_l,1739335321004,39
a,1739335321748,62
m,1739335322042,70
i,1739335322209,76
d,1739335322375,80
space,1739335322570,86
t,1739335323015,100
h,1739335323146,104
b,1739335324639,148
backspace,1739335325403,171
e,1739335325912,187
space,1739335326215,196
v,1739335326723,211
r,1739335327046,221
i,1739335327247,227
backspace,1739335327803,243
backspace,1739335328002,249
backspace,1739335328193,255
v,1739335328985,279
i,1739335329123,283
r,1739335329301,288
backspace,1739335329854,305
r,1739335330381,321
a,1739335330513,325
n,1739335330660,329
t,1739335330794,333
space,1739335330927,337
backspace,1739335331218,346
backspace,1739335331381,351
backspace,1739335331527,355
backspace,1739335331676,360
backspace,1739335331860,365
backspace,1739335332044,371
i,1739335332815,394
r,1739335333713,421
a,1739335333826,424
n,1739335333995,429
space,1739335334270,437
backspace,1739335334719,451
backspace,1739335334884,456
backspace,1739335335049,461
backspace,1739335335210,466
b,1739335335916,487
r,1739335336218,496
n,1739335336673,509
t,1739335336834,514
space,1739335336976,519
backspace,1739335337390,531
backspace,1739335337557,536
backspace,1739335337724,541
a,1739335338336,559
n,1739335338786,573
y,1739335339116,583
space,1739335339573,596
backspace,1739335339914,607
backspace,1739335340077,612
t,1739335340836,634
space,1739335341026,640
f,1739335341268,647
e,1739335341535,655
s,1739335341837,664
y,1739335342033,670
i,1739335342253,677
backspace,1739335342783,693
backspace,1739335342956,698
t,1739335343180,705
v,1739335344067,731
i,1739335344191,735
a,1739335344486,744
l,1739335344590,747
space,1739335344986,759
backspace,1739335345646,779
backspace,1739335345810,784
backspace,1739335345947,788
backspace,1739335346091,792
backspace,1739335346258,797
i,1739335346783,813
v,1739335346999,819
a,1739335347247,827
l,1739335347435,832
space,1739335347712,841
o,1739335348006,849
n,1739335348150,854
space,1739335348412,862
shift_l,1739335348775,872
j,1739335349031,880
u,1739335349203,885
n,1739335349407,891
e,1739335349535,895
space,1739335349694,900
5,1739335350298,918
t,1739335350579,927
h,1739335350728,931
space,1739335350923,937
backspace,1739335351313,949
comma,1739335351779,963
space,1739335352111,973
3,1739335352668,989
0,1739335353654,1019
2,1739335354146,1034
4,1739335354584,1047
backspace,1739335355336,1069
backspace,1739335355494,1074
backspace,1739335355652,1079
backspace,1739335355809,1084
2,1739335356360,1100
0,1739335358251,1157
2,1739335359080,1182
4,1739335359318,1189
comma,1739335360083,1212
space,1739335360273,1217
7,1739335360509,1225
space,1739335360680,1230
l,1739335360882,1236
i,1739335361080,1242
v,1739335361220,1246
e,1739335361372,1250
l,1739335361656,1259
y,1739335361874,1265
space,1739335362130,1273
m,1739335362273,1277
u,1739335362467,1283
s,1739335362573,1286
i,1739335362743,1292
c,1739335362997,1299
i,1739335363248,1307
a,1739335363559,1316
n,1739335363802,1323
s,1739335364146,1334
space,1739335364457,1343
p,1739335364854,1355
l,1739335365087,1362
a,1739335365729,1381
y,1739335365896,1386
e,1739335366077,1392
d,1739335366272,1397
space,1739335366519,1405
t,1739335367018,1420
u,1739335367139,1423
n,1739335367371,1430
e,1739335367450,1433
s,1739335367744,1442
space,1739335367969,1448
f,1739335368183,1455
r,1739335368660,1469
o,1739335368809,1474
m,1739335369007,1479
space,1739335369311,1489
shift_r,1739335370110,1513
a,1739335370481,1524
space,1739335370781,1533
t,1739335371015,1540
o,1739335371120,1543
space,1739335371356,1550
shift_r,1739335371695,1560
z,1739335372261,1577
space,1739335372568,1586
backspace,1739335372984,1599
period,1739335373355,1610
space,1739335373599,1617
shift_r,1739335374842,1654
c,1739335375170,1664
r,1739335375450,1673
o,1739335375555,1676
w,1739335375737,1681
d,1739335376252,1697
s,1739335376537,1705
space,1739335376834,1714
c,1739335377238,1726
h,1739335377405,1731
e,1739335377815,1744
e,1739335378020,1750
r,1739335378225,1756
e,1739335378406,1761
d,1739335378621,1768
space,1739335378808,1773
a,1739335378998,1779
s,1739335379238,1786
space,1739335379491,1794
8,1739335380517,1825
space,1739335380866,1835
z,1739335381335,1849
e,1739335381650,1859
b,1739335381952,1868
r,1739335382225,1876
a,1739335382404,1881
s,1739335382615,1888
space,1739335382931,1897
d,1739335383245,1907
a,1739335383425,1912
s,1739335383657,1919
h,1739335384674,1949
e,1739335384817,1954
d,1739335385069,1961
space,1739335385238,1966
p,1739335385708,1980
a,1739335385862,1985
s,1739335386100,1992
t,1739335386437,2002
space,1739335386663,2009
j,1739335386883,2016
backspace,1739335387660,2039
9,1739335388801,2073
space,1739335389934,2107
g,1739335390317,2119
l,1739335390404,2121
o,1739335390611,2128
w,1739335390680,2130
i,1739335390810,2134
n,1739335391006,2139
g,1739335391219,2146
space,1739335391361,2150
l,1739335391756,2162
