Key,Time (ms),Frame
t,1739341389746,47
h,1739341389847,50
e,1739341390031,56
space,1739341390207,61
f,1739341390457,69
i,1739341390552,71
v,1739341390701,76
e,1739341390865,81
space,1739341391003,85
v,1739341391287,94
o,1739341391421,98
backspace,1739341392087,118
backspace,1739341392258,123
b,1739341392897,142
o,1739341393054,147
x,1739341393211,151
i,1739341393404,157
n,1739341393616,163
space,1739341394750,197
backspace,1739341395759,228
g,1739341396145,239
space,1739341396304,244
3,1739341396735,257
i,1739341397365,276
backspace,1739341397660,285
backspace,1739341397834,290
backspace,1739341398387,307
w,1739341398654,315
i,1739341398865,321
r,1739341399046,326
backspace,1739341399519,340
backspace,1739341399687,346
backspace,1739341399828,350
space,1739341400215,361
w,1739341400857,381
i,1739341401151,389
z,1739341402119,418
a,1739341402898,442
r,1739341403108,448
d,1739341403396,457
space,1739341403599,463
backspace,1739341404168,480
s,1739341404460,489
space,1739341404657,495
j,1739341404906,502
u,1739341405070,507
m,1739341405455,519
p,1739341405711,526
s,1739341405957,534
space,1739341406152,539
q,1739341406446,548
backspace,1739341406771,558
backspace,1739341406912,562
backspace,1739341407087,568
space,1739341407700,586
q,1739341408067,597
u,1739341408228,602
i,1739341408732,617
c,1739341408923,623
l,1739341409138,629
y,1739341409336,635
backspace,1739341409975,654
backspace,1739341410139,659
k,1739341410473,669
l,1739341410765,678
y,1739341410952,683
comma,1739341411633,704
period,1739341411845,710
space,1739341412121,719
p,1739341412452,728
a,1739341412613,733
k,1739341412905,742
space,1739341413144,749
backspace,1739341413637,764
backspace,1739341413799,769
c,1739341414121,779
k,1739341414250,782
space,1739341414440,788
m,1739341414580,792
y,1739341414811,799
space,1739341415002,805
b,1739341415209,811
o,1739341415314,814
x,1739341415499,820
space,1739341415674,825
w,1739341416042,836
i,1739341416106,838
t,1739341416322,845
h,1739341416538,851
space,1739341416768,858
f,1739341416955,864
i,1739341417282,873
v,1739341417456,879
e,1739341417655,885
space,1739341417883,891
o,1739341418514,910
z,1739341418901,922
backspace,1739341419270,933
backspace,1739341419445,938
backspace,1739341419572,942
d,1739341419744,947
o,1739341419873,951
backspace,1739341420353,966
backspace,1739341420510,970
backspace,1739341420644,974
space,1739341421031,986
backspace,1739341421432,998
e,1739341421742,1007
space,1739341421928,1013
d,1739341422359,1026
o,1739341422563,1032
z,1739341422770,1038
e,1739341423031,1046
n,1739341423225,1052
space,1739341423398,1057
l,1739341423623,1064
i,1739341423773,1068
q,1739341424125,1079
u,1739341424249,1082
o,1739341424882,1101
r,1739341425067,1107
space,1739341425434,1118
j,1739341425588,1123
u,1739341425781,1128
g,1739341426006,1135
s,1739341426230,1142
comma,1739341427051,1166
period,1739341427279,1173
space,1739341427531,1181
g,1739341428042,1196
o,1739341428151,1199
space,1739341428359,1206
l,1739341428555,1212
a,1739341428669,1215
z,1739341428946,1223
y,1739341429102,1228
space,1739341429364,1236
f,1739341429547,1241
a,1739341429964,1254
t,1739341430267,1263
space,1739341430552,1271
v,1739341430783,1278
x,1739341431346,1295
e,1739341431586,1303
n,1739341431775,1308
backspace,1739341432161,1320
backspace,1739341432307,1324
backspace,1739341432456,1329
i,1739341432701,1336
x,1739341432934,1343
e,1739341433147,1349
n,1739341433267,1353
space,1739341433555,1362
b,1739341433729,1367
e,1739341433973,1374
space,1739341434194,1381
s,1739341434388,1387
h,1739341434576,1392
r,1739341434949,1403
e,1739341435237,1412
w,1739341435833,1430
e,1739341436496,1450
d,1739341436724,1457
space,1739341436926,1463
j,1739341437138,1469
u,1739341437338,1475
m,1739341438046,1496
o,1739341438288,1504
s,1739341438497,1510
space,1739341438689,1516
backspace,1739341438972,1524
backspace,1739341439145,1529
backspace,1739341439289,1534
p,1739341439667,1545
space,1739341439916,1552
q,1739341440080,1557
u,1739341440200,1561
c,1739341440506,1570
i,1739341440676,1575
backspace,1739341441206,1591
backspace,1739341441374,1596
i,1739341441586,1603
c,1739341441782,1608
k,1739341441943,1613
l,1739341442187,1621
y,1739341442449,1628
comma,1739341442874,1641
period,1739341443107,1648
space,1739341443420,1658
w,1739341443603,1663
h,1739341443770,1668
e,1739341443924,1673
n,1739341444114,1678
space,1739341444336,1685
z,1739341444847,1700
o,1739341445165,1710
o,1739341445574,1722
m,1739341445946,1733
b,1739341446328,1745
i,1739341446632,1754
e,1739341447100,1768
s,1739341447295,1774
space,1739341447607,1783
a,1739341447775,1788
r,1739341447994,1795
r,1739341448177,1800
i,1739341448552,1811
v,1739341448850,1820
e,1739341449048,1826
s,1739341449279,1833
comma,1739341449765,1848
space,1739341450003,1855
q,1739341450151,1859
u,1739341450324,1865
i,1739341450495,1870
c,1739341450612,1873
k,1739341450763,1878
l,1739341451125,1889
y,1739341451465,1899
space,1739341451761,1908
f,1739341452041,1916
a,1739341452225,1922
c,1739341452445,1928
backspace,1739341453064,1947
x,1739341453313,1954
space,1739341453574,1962
j,1739341453744,1967
u,1739341453917,1972
d,1739341454077,1977
g,1739341454345,1985
e,1739341454519,1990
space,1739341454700,1996
p,1739341454987,2005
a,1739341455153,2010
t,1739341455364,2016
comma,1739341455681,2025
