Key,Time (ms),Frame
shift_l,1739335783058,70
o,1739335783296,77
n,1739335783539,84
space,1739335783844,94
space,1739335784380,110
backspace,1739335785348,139
backspace,1739335785539,144
space,1739335786204,164
a,1739335786658,178
space,1739335786950,187
c,1739335788736,240
r,1739335789059,250
i,1739335789153,253
p,1739335789374,259
backspace,1739335790108,282
s,1739335790298,287
p,1739335790502,293
space,1739335791439,321
shift_l,1739335792055,340
o,1739335792558,355
c,1739335792734,360
t,1739335793188,374
o,1739335793270,376
b,1739335793510,384
space,1739335794114,402
backspace,1739335794696,419
space,1739335795659,448
backspace,1739335796394,470
r,1739335796854,484
backspace,1739335797635,507
e,1739335798033,519
r,1739335798266,526
space,1739335798563,535
e,1739335798832,543
v,1739335799124,552
e,1739335799313,558
n,1739335799446,562
i,1739335799716,570
n,1739335799904,575
g,1739335800117,582
comma,1739335800461,592
space,1739335800758,601
5,1739335801474,622
space,1739335801734,630
d,1739335802021,639
a,1739335802313,648
r,1739335802713,660
i,1739335803334,678
n,1739335803527,684
g,1739335803874,694
space,1739335804222,705
a,1739335804562,715
d,1739335804801,722
v,1739335805125,732
e,1739335805310,738
n,1739335805445,742
t,1739335805594,746
u,1739335805841,753
r,1739335805985,758
e,1739335806068,760
e,1739335806786,782
r,1739335806973,787
s,1739335807183,794
backspace,1739335807601,806
backspace,1739335807760,811
backspace,1739335807910,816
backspace,1739335808102,821
r,1739335808389,830
backspace,1739335808860,844
e,1739335809126,852
r,1739335809323,858
e,1739335809501,863
backspace,1739335810146,883
s,1739335810543,895
space,1739335810757,901
s,1739335811293,917
e,1739335811505,923
t,1739335811775,932
space,1739335812089,941
t,1739335812294,947
o,1739335812462,952
backspace,1739335812793,962
backspace,1739335812967,967
o,1739335813728,990
u,1739335813900,995
t,1739335814096,1001
space,1739335814152,1003
o,1739335814319,1008
t,1739335814493,1013
space,1739335814681,1019
backspace,1739335815155,1033
backspace,1739335815336,1038
backspace,1739335815482,1043
t,1739335816124,1062
o,1739335816225,1065
space,1739335816448,1072
e,1739335816591,1076
x,1739335816870,1084
p,1739335817139,1092
l,1739335817737,1110
o,1739335817963,1117
r,1739335818186,1124
e,1739335818399,1130
space,1739335818643,1138
t,1739335818948,1147
h,1739335819061,1150
e,1739335819228,1155
space,1739335819337,1158
f,1739335819702,1169
o,1739335819827,1173
r,1739335819932,1176
s,1739335820148,1183
backspace,1739335820712,1200
e,1739335821007,1208
s,1739335821214,1215
t,1739335821450,1222
comma,1739335821952,1237
space,1739335822147,1243
c,1739335822462,1252
a,1739335822675,1259
r,1739335822919,1266
i,1739335823113,1272
n,1739335823395,1280
backspace,1739335823735,1290
backspace,1739335823884,1295
r,1739335824469,1312
y,1739335824946,1327
i,1739335825282,1337
n,1739335825455,1342
g,1739335825677,1349
space,1739335825763,1351
m,1739335825959,1357
a,1739335826173,1363
p,1739335826300,1367
s,1739335826512,1374
space,1739335826754,1381
m,1739335826977,1388
a,1739335827111,1392
r,1739335827345,1399
k,1739335827551,1405
e,1739335827690,1409
d,1739335827914,1416
space,1739335828123,1422
f,1739335828330,1428
r,1739335828511,1434
o,1739335828645,1438
m,1739335828854,1444
space,1739335829667,1468
shift_r,1739335830241,1485
a,1739335830716,1500
space,1739335831069,1510
t,1739335831475,1523
o,1739335831589,1526
space,1739335831753,1531
shift_r,1739335832148,1543
z,1739335832551,1555
period,1739335833443,1582
space,1739335833675,1589
shift_r,1739335834064,1600
t,1739335834381,1610
h,1739335834563,1615
e,1739335834704,1619
y,1739335834943,1627
space,1739335835543,1645
d,1739335835801,1652
i,1739335835913,1656
s,1739335836085,1661
c,1739335836314,1668
o,1739335836424,1671
v,1739335836762,1681
e,1739335836982,1688
r,1739335837737,1710
e,1739335837924,1716
d,1739335838128,1722
space,1739335838338,1728
1,1739335838995,1748
2,1739335839255,1756
space,1739335839660,1768
h,1739335840124,1782
i,1739335840280,1787
d,1739335840451,1792
d,1739335840583,1796
e,1739335840770,1801
n,1739335841465,1822
space,1739335841862,1834
c,1739335842122,1842
a,1739335842409,1851
v,1739335842637,1857
e,1739335842858,1864
s,1739335843126,1872
comma,1739335843769,1891
space,1739335843984,1898
8,1739335845178,1934
space,1739335845514,1944
s,1739335845989,1958
p,1739335846147,1963
a,1739335846812,1983
r,1739335847009,1989
k,1739335847184,1994
i,1739335847393,2000
backspace,1739335848464,2032
l,1739335849180,2054
k,1739335849869,2074
i,1739335850077,2081
n,1739335850290,2087
backspace,1739335850735,2100
backspace,1739335850893,2105
backspace,1739335851069,2110
i,1739335851497,2123
n,1739335851642,2128
g,1739335853008,2169
space,1739335853218,2175
s,1739335853635,2187
t,1739335853930,2196
r,1739335854096,2201
e,1739335854523,2214
a,1739335854739,2220
m,1739335854955,2227
s,1739335855262,2236
space,1739335855567,2245
backspace,1739335855867,2254
comma,1739335856158,2263
space,1739335856399,2270
a,1739335856566,2275
n,1739335856745,2281
d,1739335856928,2286
space,1739335857026,2289
9,1739335857487,2303
space,1739335857768,2311
g,1739335858129,2322
l,1739335858240,2325
o,1739335858438,2331
w,1739335858597,2336
i,1739335858711,2340
n,1739335858887,2345
g,1739335859076,2351
space,1739335859304,2357
f,1739335860100,2381
i,1739335860239,2385
r,1739335860413,2391
e,1739335860632,2397
f,1739335861186,2414
k,1739335861445,2422
i,1739335861706,2429
backspace,1739335862170,2443
backspace,1739335862346,2449
l,1739335862877,2465
i,1739335863054,2470
e,1739335863152,2473
s,1739335863375,2480
space,1739335863661,2488
t,1739335863925,2496
h,1739335864015,2499
a,1739335864212,2505
t,1739335864312,2508
space,1739335864652,2518
l,1739335865058,2530
i,1739335865251,2536
t,1739335865407,2540
space,1739335865733,2550
u,1739335866292,2567
p,1739335866514,2574
space,1739335866757,2581
t,1739335866882,2585
h,1739335867029,2589
e,1739335867175,2594
space,1739335867301,2597
n,1739335867491,2603
i,1739335867672,2608
g,1739335867782,2612
h,1739335867994,2618
t,1739335868122,2622
space,1739335868417,2631
backspace,1739335868966,2647
period,1739335869350,2659
space,1739335869584,2666
shift_r,1739335870966,2707
t,1739335871310,2718
h,1739335871493,2723
e,1739335871669,2728
space,1739335871805,2732
q,1739335872101,2741
u,1739335872217,2745
i,1739335872397,2750
c,1739335872535,2754
k,1739335872673,2758
space,1739335872964,2767
b,1739335873448,2782
r,1739335873690,2789
o,1739335873852,2794
w,1739335873982,2798
n,1739335874198,2804
space,1739335874520,2814
f,1739335874744,2821
o,1739335874888,2825
x,1739335875106,2831
space,1739335875341,2838
d,1739335876043,2860
a,1739335876258,2866
h,1739335876441,2871
e,1739335876691,2879
d,1739335876919,2886
backspace,1739335877358,2899
backspace,1739335877542,2905
backspace,1739335877699,2909
backspace,1739335877928,2916
a,1739335878578,2936
s,1739335878905,2945
h,1739335879186,2954
e,1739335879297,2957
d,1739335879511,2964
space,1739335879738,2970
p,1739335880269,2986
a,1739335880491,2993
s,1739335880733,3000
t,1739335880994,3008
space,1739335881314,3018
7,1739335882330,3048
space,1739335882599,3056
d,1739335882825,3063
a,1739335883045,3070
y,1739335883244,3076
s,1739335883441,3081
backspace,1739335883822,3093
backspace,1739335883996,3098
backspace,1739335884140,3102
backspace,1739335884303,3107
l,1739335884762,3121
a,1739335884887,3125
z,1739335885144,3133
y,1739335885317,3138
space,1739335885658,3148
s,1739335886026,3159
q,1739335886754,3181
u,1739335886955,3187
i,1739335887162,3193
r,1739335887355,3199
r,1739335887553,3205
l,1739335887853,3214
e,1739335887989,3218
s,1739335888239,3225
backspace,1739335888616,3237
backspace,1739335888788,3242
backspace,1739335888950,3247
e,1739335889233,3255
l,1739335889343,3259
s,1739335889510,3264
comma,1739335889948,3277
space,1739335890160,3283
w,1739335890612,3297
h,1739335890794,3302
i,1739335890884,3305
l,1739335891094,3311
e,1739335891374,3319
space,1739335891531,3324
3,1739335892175,3344
space,1739335892307,3347
o,1739335892549,3355
w,1739335892653,3358
l,1739335892810,3363
backspace,1739335893158,3373
l,1739335894122,3402
s,1739335894305,3407
space,1739335894597,3416
h,1739335895056,3430
o,1739335895283,3437
o,1739335895416,3441
t,1739335895806,3452
e,1739335896023,3459
d,1739335896257,3466
space,1739335896411,3471
l,1739335897319,3498
o,1739335897527,3504
u,1739335897794,3512
l,1739335898052,3520
backspace,1739335898906,3545
d,1739335899377,3560
l,1739335899616,3567
y,1739335899848,3574
space,1739335900128,3582
f,1739335900355,3589
o,1739335900439,3591
r,1739335900600,3596
m,1739335900817,3603
backspace,1739335901172,3613
backspace,1739335901356,3619
backspace,1739335901504,3623
r,1739335901912,3636
o,1739335902018,3639
m,1739335902201,3644
space,1739335902437,3651
5,1739335902949,3667
space,1739335903187,3674
t,1739335903662,3688
o,1739335903735,3690
w,1739335903916,3696
e,1739335904253,3706
r,1739335904401,3710
i,1739335904582,3716
n,1739335904786,3722
g,1739335905060,3730
t,1739335905492,3743
r,1739335905663,3748
e,1739335905720,3750
e,1739335905916,3756
backspace,1739335906467,3772
backspace,1739335906641,3777
backspace,1739335906830,3783
backspace,1739335907262,3796
space,1739335907590,3806
r,1739335907932,3816
backspace,1739335908358,3829
t,1739335908647,3838
r,1739335908855,3844
e,1739335909028,3849
e,1739335909201,3854
s,1739335909637,3867
period,1739335909896,3875
space,1739335910226,3885
n,1739335910913,3906
backspace,1739335911845,3934
shift_l,1739335912538,3954
n,1739335913135,3972
e,1739335913366,3979
a,1739335913601,3986
r,1739335913817,3993
b,1739335914577,4016
y,1739335914806,4022
space,1739335915002,4028
backspace,1739335915536,4044
comma,1739335915869,4054
space,1739335916197,4064
a,1739335916421,4071
space,1739335916680,4079
g,1739335916928,4086
r,1739335917131,4092
o,1739335917262,4096
u,1739335917436,4101
o,1739335917677,4109
backspace,1739335918250,4126
p,1739335918592,4136
space,1739335919049,4150
o,1739335919233,4155
5,1739335920137,4182
backspace,1739335920532,4194
6,1739335920780,4202
backspace,1739335921343,4219
f,1739335921636,4227
space,1739335921829,4233
6,1739335922200,4244
space,1739335922485,4253
f,1739335922819,4263
g,1739335923295,4277
a,1739335923686,4289
backspace,1739335923977,4298
backspace,1739335924150,4303
backspace,1739335924330,4308
f,1739335925140,4332
r,1739335925360,4339
o,1739335925460,4342
g,1739335925652,4348
s,1739335925928,4356
space,1739335926315,4368
l,1739335926881,4385
e,1739335927068,4390
a,1739335928367,4429
p,1739335928699,4439
e,1739335929094,4451
d,1739335929302,4457
space,1739335929485,4463
o,1739335929871,4474
v,1739335930065,4480
e,1739335931198,4514
r,1739335931411,4521
space,1739335931700,4529
0,1739335933349,4579
space,1739335933926,4596
r,1739335934150,4603
o,1739335934231,4605
c,1739335934504,4613
k,1739335934632,4617
e,1739335934792,4622
backspace,1739335935351,4639
s,1739335935669,4648
space,1739335935904,4655
i,1739335936669,4678
n,1739335936864,4684
t,1739335937041,4689
o,1739335937227,4695
space,1739335937407,4700
a,1739335937654,4708
space,1739335937928,4716
g,1739335938175,4724
backspace,1739335938616,4737
p,1739335939458,4762
o,1739335939709,4770
