Frame,Key
45,t
89,delete
99,d
106,e
115,a
121,r
126,space
130,t
136,e
143,a
150,m
180,comma
185,space
191,i
196,space
201,h
207,o
212,p
217,e
220,space
230,y
235,o
238,u
244,space
276,a
281,l
286,l
288,space
294,h
297,a
302,d
308,space
316,a
322,space
341,f
348,a
352,n
366,t
376,delete
383,t
394,delete
398,s
401,t
405,a
412,c
429,delete
459,delete
464,delete
492,t
497,a
502,c
517,delete
519,s
525,t
527,i
531,c
538,space
565,t
569,i
574,m
578,e
583,space
587,o
592,u
596,r
601,space
647,delete
652,delete
657,delete
661,delete
669,a
674,t
679,space
694,o
700,u
705,r
711,space
724,r
727,e
735,c
741,e
744,n
749,t
754,space
784,e
791,m
797,p
804,l
821,o
830,y
836,e
841,e
851,space
869,e
887,delete
890,a
897,p
901,p
909,r
913,o
938,delete
942,e
948,d
953,i
962,delete
966,delete
970,c
984,i
990,a
996,t
1005,o
1017,delete
1023,i
1027,o
1030,n
1037,space
1066,e
1072,v
1078,e
1082,n
1087,t
1095,space
1115,delete
1156,dot
1163,space
1168,i
1173,t
1177,space
1182,w
1190,a
1194,s
1202,space
1228,t
1234,r
1240,u
1248,l
1262,y
1268,space
1272,a
1279,n
1290,delete
1295,space
1334,p
1341,l
1347,e
1353,a
1359,s
1365,e
1388,delete
1395,u
1398,r
1401,e
1407,space
1433,t
1437,o
1441,space
1445,s
1451,e
1456,e
1462,space
1466,e
1473,v
1478,e
1482,r
1489,y
1496,space
1500,o
1507,n
1512,e
1518,space
1536,c
1540,o
1545,m
1560,e
1567,space
1572,t
1577,i
1596,delete
1601,o
1606,g
1620,e
1626,t
1629,h
1633,e
1636,r
1643,space
1674,a
1678,n
1681,d
1685,space
1690,j
1702,delete
1706,e
1709,n
1716,o
1734,delete
1740,j
1745,o
1749,y
1758,space
1783,t
1787,h
1791,e
1795,space
1801,f
1808,e
1814,s
1819,t
1846,i
1858,v
1861,i
1865,t
1869,e
1877,s
1883,space
1899,delete
1910,dot
1915,space
1927,y
1932,o
1935,u
1941,r
1945,space
1961,e
1967,n
1977,t
1985,h
1991,u
1997,s
2003,i
2008,a
2014,n
2020,space
2032,delete
2037,delete
2042,s
2046,m
2052,space
2060,a
2064,n
2069,d
2075,space
2093,p
2100,o
2105,s
2115,i
2121,t
2125,i
2129,v
2136,e
2142,space
2170,e
2175,n
2177,e
2184,r
2193,y
2204,delete
2215,g
2220,y
