Frame,Key
36,g
43,o
47,o
51,d
57,space
64,a
77,f
82,t
88,e
92,r
100,n
108,o
115,o
122,n
152,dot
158,space
164,t
165,h
169,e
173,space
179,b
183,o
189,a
193,r
200,d
205,space
210,o
213,f
216,space
246,d
251,i
256,r
261,e
268,c
275,t
278,o
288,r
293,s
300,space
308,m
311,e
316,e
325,t
331,i
340,n
344,g
350,s
358,space
369,h
373,a
378,v
383,e
389,space
399,b
403,e
407,e
413,n
419,space
446,s
463,c
472,h
477,e
483,d
484,u
490,l
495,e
501,d
506,space
525,a
537,s
544,space
549,f
567,o
574,l
575,l
580,o
583,w
596,s
620,space
624,j
629,a
636,n
639,u
650,a
655,r
662,y
667,space
699,p
703,r
713,e
724,v
728,i
733,o
739,u
742,s
747,l
756,y
759,space
765,c
767,o
770,n
775,f
781,i
784,r
798,delete
807,r
810,m
816,e
821,d
827,space
853,c
861,m
865,delete
867,delete
875,m
881,a
889,y
895,space
900,j
903,u
909,l
920,y
930,space
952,o
955,c
962,o
969,t
977,o
992,delete
994,delete
1000,delete
1003,delete
1015,c
1024,t
1027,o
1034,b
1039,e
1046,r
1073,dot
1077,space
1079,t
1085,h
1089,e
1090,space
1093,t
1099,i
1104,m
1108,e
1112,space
1132,o
1139,f
1140,space
1145,e
1148,a
1153,c
1158,h
1164,space
1170,m
1173,e
1176,e
1183,t
1188,i
1193,n
1198,g
1203,space
1223,w
1228,i
1233,l
1238,l
1241,space
1260,b
1268,e
1273,space
1279,a
1292,m
1299,space
1306,t
1310,o
1316,space
1331,n
1339,o
1346,o
1354,n
1393,space
1398,h
1403,o
1408,w
1412,e
1420,v
1425,e
1428,r
1441,space
1458,delete
1464,comma
1473,space
1477,f
1479,u
1484,r
1490,t
1498,h
1503,e
1506,r
1513,space
1526,l
1531,o
1535,g
1538,i
1541,s
1546,t
1552,i
1558,c
1562,a
1567,l
1574,space
1594,d
1601,e
1607,t
1614,a
1615,i
1621,l
1625,s
1630,space
1633,w
1642,i
1647,l
1649,l
1653,space
1661,b
1666,e
1669,space
1672,a
1675,n
1683,n
1691,o
1696,u
1703,n
1717,c
1725,e
1729,d
1738,space
1750,a
1751,n
1755,d
1764,delete
1768,delete
1773,t
1776,space
1785,a
1792,space
1798,l
1805,a
1812,t
1818,e
1837,e
1848,delete
1855,r
1860,space
1865,d
1870,a
1876,t
1877,e
1888,space
1927,p
1933,r
1937,i
1943,o
1946,r
1953,space
1959,t
1964,o
1969,space
1973,e
1979,a
1986,c
1990,h
1997,space
2004,m
2008,e
2012,e
2018,t
2023,i
2027,n
2041,g
2077,dot
2081,space
2086,p
2094,l
2099,e
2103,a
2111,s
2119,e
2120,space
2138,f
2144,e
2149,e
2155,l
2158,space
2161,f
2165,r
2171,e
2176,e
2184,space
2205,t
2212,o
2217,space
2222,c
2223,o
2228,n
2232,t
2240,a
2256,c
2264,t
2271,space
2277,e
2280,i
2288,t
2294,h
2302,e
2308,r
2316,space
2331,k
2337,e
2342,i
2347,t
2352,h
2360,space
2366,l
2370,a
2379,r
2386,n
2391,e
2399,y
2407,space
2415,o
2420,r
2426,space
2440,delete
2445,delete
2449,delete
2455,a
2461,t
2464,comma
2471,space
2477,o
2481,r
2487,space
2493,m
2499,e
2502,space
2514,i
2518,f
2523,space
2530,y
2533,o
2536,u
2541,space
2549,h
2552,s
2558,delete
2563,delete
2565,s
2569,h
2575,o
2578,u
2585,l
2586,d
2591,space
2597,h
2598,a
2605,v
2612,e
2616,space
2624,a
2627,n
2635,y
2640,space
2668,q
2669,u
2675,e
2681,s
2687,t
2691,i
2697,o
2701,n
2708,s
2715,space
2725,delete
2737,dot
2741,space
2745,t
2750,h
2755,a
2757,n
2763,k
2770,space
2778,y
2785,o
2788,u
2809,dot
