Key,Frame
t,101
h,103
e,107
space,111
f,116
i,120
v,123
e,129
space,134
v,140
backspace,160
b,171
o,176
x,180
i,183
n,188
g,192
space,197
w,208
i,215
z,235
r,242
backspace,270
a,278
r,282
d,287
s,294
space,301
j,311
u,315
m,321
p,326
s,332
space,337
q,345
u,347
backspace,368
backspace,370
backspace,374
backspace,382
space,401
q,403
u,409
i,416
c,424
k,430
l,440
y,447
comma,459
period,466
space,473
p,480
a,484
c,489
k,494
space,504
m,515
y,521
b,533
o,540
s,544
space,550
backspace,560
backspace,565
backspace,570
backspace,591
space,603
b,609
o,614
x,619
space,628
w,636
i,640
t,643
h,647
space,651
f,657
i,661
v,664
e,669
space,675
d,682
o,685
z,693
e,699
n,705
space,711
l,715
i,719
q,735
o,757
backspace,779
u,790
o,794
r,800
space,805
j,808
u,814
g,818
s,824
comma,845
period,848
space,854
g,860
o,863
space,868
l,874
a,879
z,884
y,892
space,900
f,906
a,911
t,915
space,929
v,935
i,939
x,959
e,965
n,971
space,978
b,984
e,989
space,994
s,1002
h,1008
r,1014
e,1020
w,1031
e,1037
d,1042
space,1049
j,1055
u,1060
m,1067
p,1071
space,1083
q,1093
u,1096
f,1104
backspace,1125
i,1133
c,1137
k,1141
l,1160
y,1166
comma,1177
period,1183
space,1192
2,1199
h,1203
e,1207
n,1212
space,1217
backspace,1225
backspace,1230
backspace,1234
backspace,1238
backspace,1259
w,1270
h,1277
e,1295
n,1298
space,1303
z,1313
o,1335
o,1340
m,1348
b,1355
i,1358
e,1362
s,1367
space,1375
a,1384
r,1389
r,1394
i,1399
v,1401
e,1405
s,1410
comma,1414
space,1419
q,1423
u,1429
c,1432
i,1436
backspace,1458
backspace,1462
i,1474
c,1478
k,1482
l,1491
y,1498
space,1504
f,1508
a,1516
x,1521
space,1530
j,1537
u,1542
d,1551
g,1558
e,1563
space,1572
p,1592
a,1596
t,1601
comma,1615
period,1623
space,1629
a,1634
m,1641
z,1674
i,1678
n,1683
g,1687
l,1693
backspace,1701
backspace,1706
backspace,1711
backspace,1716
backspace,1719
a,1735
z,1750
i,1753
n,1759
g,1762
l,1767
y,1773
space,1779
f,1782
e,1787
w,1793
space,1806
d,1812
i,1817
s,1821
c,1827
o,1835
t,1839
h,1842
e,1852
q,1873
u,1876
e,1880
s,1886
space,1897
p,1902
r,1907
o,1911
v,1916
i,1922
d,1925
e,1929
space,1941
j,1946
u,1952
k,1964
e,1970
space,2001
b,2010
o,2013
x,2016
e,2021
s,2026
comma,2045
period,2052
space,2057
p,2078
u,2084
z,2088
z,2095
l,2103
e,2106
d,2113
space,2120
w,2127
o,2133
e,2144
m,2149
backspace,2167
backspace,2172
m,2195
e,2202
n,2203
space,2209
b,2218
e,2224
q,2245
u,2250
e,2253
a,2272
t,2278
h,2281
a,2285
space,2298
j,2304
e,2310
r,2314
k,2329
s,2335
space,2341
e,2349
backspace,2361
v,2371
e,2375
r,2379
y,2384
space,2389
e,2393
x,2400
o,2406
t,2420
i,2425
c,2429
space,2445
g,2450
i,2454
v,2459
backspace,2475
f,2483
t,2489
